epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib
1,0.09913473118599453,0.08355972652926165,48.478249360999996,3.7196916840000718,19.373245679999922,5.34145464399996,0.7144859749998673,26.83657166099975,0.9015408369999989,0.5058445250000005,6.080000000000005e-05,0.10492314592343184,0.024884903368236014,0.1611653248062516,False,,1052,92928,0,0.747400608999996,63.87234042553192,85.0,29.21276595744681,45.0,47.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
2,0.05102346806219951,0.05970133764340597,49.02790847099999,3.7820987499998466,19.254440342999956,5.999695365999969,0.7644336179999698,27.5274618669999,0.9700374430000096,0.5388550969999955,0.00012060000000000064,0.0748253868550726,0.035795391696503406,0.265126603069777,False,,2061,92928,0,0.1087933980000031,61.91489361702128,85.0,28.27659574468085,47.0,47.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
3,0.03508679470760599,0.04198963814141119,48.86308961600001,3.8611101909995824,19.078690976999994,5.944098248000216,0.7350542830002524,27.173264254000458,0.8994558960000063,0.5159648499999889,0.00018040000000000094,0.06002176368161843,0.02939661661910131,0.22764397724619734,False,,3070,92928,0,0.10527713199999766,63.93617021276596,84.0,29.914893617021278,47.0,47.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
4,0.030283820109836983,0.03862065849277903,46.80284054500001,3.5142256510002596,18.173308276999933,5.51378171599967,0.6362688730000343,25.675517591999665,0.8504126830000018,0.5017460430000256,0.0002402000000000009,0.057510208855559686,0.02835342372589356,0.2037951736545125,False,,4079,92928,0,0.11228798900000925,62.630434782608695,86.0,28.434782608695652,46.0,46.0,35166998528.0,67234693120.0,32.7518196105957,62.6171875
5,0.027261713242604714,0.037830146960914135,47.66702190799998,3.651256299999858,18.511334417,5.6158702280002615,0.6810448540001062,26.290018333000404,0.9404719810000302,0.5412968530000057,0.0002999999999999999,0.05163319044900828,0.02572019770820732,0.17340041177643556,False,,5088,92928,0,0.12035535600000458,64.47826086956522,87.0,29.695652173913043,45.0,46.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
6,0.024617607748910742,0.037694870165604,47.807084273999976,3.7111362470009226,18.617350356999907,5.713978106000297,0.6808366730000444,26.41492013000027,0.884773770000038,0.5179812239999819,0.0002996711467850862,0.044241204664611566,0.022210149647869045,0.14559161997007142,False,,6097,92928,0,0.11117159299999457,62.630434782608695,86.0,28.956521739130434,50.0,46.0,35166998528.0,67234693120.0,32.7518196105957,62.6171875
7,0.022580337510559677,0.034620175412034285,48.25855666699999,3.7400350230000186,18.72491630099995,5.77603797900025,0.7019488710001838,26.808529463000355,1.0019859689999748,0.603640342999995,0.00029868618928013165,0.040037220061190745,0.020656547057114966,0.12870172751744702,False,,7106,92928,0,0.11594966299998077,65.0,79.0,29.869565217391305,41.0,46.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
8,0.021931083611220367,0.039760873598210955,48.594582677999995,3.844228563000513,18.88379562099942,5.846834916000375,0.7215241890005473,26.962806847000365,0.9471009659999936,0.5635511550000274,0.000297049926099093,0.036828100621461,0.01926462029551697,0.1292049046147155,False,,8115,92928,0,0.1324876649999851,63.1063829787234,85.0,29.25531914893617,46.0,47.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
9,0.021319496447923428,0.03258474916219711,48.76255508899999,3.8478410899996334,19.011733105000474,5.825174173000676,0.7355157239992991,27.033174656000426,0.9406670879999979,0.52008456599998,0.0002947703289517121,0.04045327803223613,0.020005886583065145,0.11762278781860684,False,,9124,92928,0,0.11028726400002142,62.1063829787234,90.0,28.53191489361702,49.0,47.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
10,0.019271428748123737,0.03295586649876307,47.892763194,3.580376410999918,18.81785109899971,5.722236152000107,0.6930581240005722,26.59440860000035,0.8739870150000115,0.4872762099999477,0.0002918585038061463,0.029513856613124622,0.01589775609080401,0.10476000767784939,False,,10133,92928,0,0.11073077199995396,64.6086956521739,88.0,28.934782608695652,43.0,46.0,35167035392.0,67234693120.0,32.751853942871094,62.6171875
