epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib
1,0.062284288070993316,0.07116287552258548,48.837306835999996,3.1961458449999895,19.86090740500004,5.706530721999911,0.6362581940001348,27.689011054000083,0.9168171919999963,0.5684975409999993,0.001,0.04963968388923818,0.0006074646951653055,0.04510238600455449,False,,1053,92928,0,0.6795096749999914,62.125,85.0,28.833333333333332,47.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
2,0.04585297790050671,0.059239739990409684,48.249880769000015,3.1126473190000894,19.17665055499998,6.058523705999619,0.604200977999966,27.31100336399956,0.8883918319999964,0.5832362929999988,0.001,0.03585924134491951,0.00012448311744819054,0.05065904308537962,False,,2062,92928,0,0.10210838099999364,61.808510638297875,98.0,28.48936170212766,51.0,47.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
3,0.03968948590217707,0.054725155891741026,50.31996054800001,3.565859579000204,20.014385076999844,6.470118282999948,0.6905792569998823,28.960260369999673,1.0764576509999984,0.7087201020000009,0.001,0.030060962629962922,6.069834071221764e-05,0.04736444094172356,False,,3071,92928,0,0.1304005620000055,59.3469387755102,80.0,27.285714285714285,46.0,49.0,35165197824.0,54794387456.0,32.7501425743103,51.03125
4,0.037776820720802,0.052906774203566945,52.38795801499998,4.015855622000174,21.05790775600019,7.041562527000309,0.8151320650000287,30.443968385000545,0.9170709580000107,0.6122950790000061,0.001,0.026113987764251115,7.102858298883738e-05,0.04703683608056684,False,,4080,92928,0,0.11001500199998304,58.22,87.0,27.3,47.0,50.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
5,0.036563045768575234,0.05852778365506845,49.64096509799998,3.552755443000393,19.61570872399969,6.5452158230004045,0.6540252779997502,28.35884261899983,0.9151093629999991,0.628783430999988,0.001,0.01948391630374311,6.987218816949181e-05,0.04977072200849193,False,,5089,92928,0,0.11062720800003945,58.958333333333336,74.0,26.3125,37.0,48.0,35165197824.0,54794387456.0,32.7501425743103,51.03125
6,0.03803122113394672,0.05517439281239229,50.16310424799997,3.7122109529995555,19.807591336999963,6.653149052000231,0.6616333430001191,28.648210652000273,0.912702200999945,0.6131347190000156,0.001,0.017930836319437,6.707165957093671e-05,0.06132879499752268,False,,6098,92928,0,0.10663490500002126,61.8125,100.0,28.25,49.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
7,0.03735449909137629,0.06462165735223714,50.31792070800003,3.705073571000298,19.906111902001385,6.683503678000079,0.6615180370003486,28.780751901001793,0.9057659430000058,0.6238523409999743,0.001,0.0137256574018898,9.291656431672597e-05,0.06150542963734784,False,,7107,92928,0,0.11148938600001657,61.08163265306123,85.0,29.20408163265306,46.0,49.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
8,0.03797380347574545,0.06507378674167044,50.337298578,3.696366572999807,19.85115427399967,6.647168087999773,0.6549065320000409,28.71712874999946,0.9261056429999712,0.6377942130000065,0.001,0.014989472727552968,0.00024230257369141334,0.06731106643777025,False,,8116,92928,0,0.11362576000004765,57.16326530612245,76.0,25.836734693877553,39.0,49.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
9,0.03783091120216636,0.06000027400167549,49.90661293799997,3.6503158979996897,19.699738695000917,6.562494756000206,0.6388383199997634,28.446913464000886,0.9184695430000147,0.6273721499999851,0.001,0.021192950569951886,4.618629523734683e-05,0.0714201917415738,False,,9125,92928,0,0.12169386099998292,60.142857142857146,83.0,27.959183673469386,54.0,49.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
10,0.04109219391894406,0.05334829462363439,50.19429202700002,3.669361480000532,19.826510848999703,6.619475468001042,0.656510002999596,28.654373935000308,0.931291897000051,0.6205857179999157,0.001,0.019253119098104118,7.975453658934412e-06,0.0761523094417537,False,,10134,92928,0,0.12507770000001983,59.729166666666664,89.0,27.333333333333332,49.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
11,0.03743820167954796,0.05187595942441155,50.11316229500005,3.649888021000379,19.819172788000856,6.644093532001534,0.6508870709997154,28.66207981700211,0.9351440049999837,0.6127824210000199,0.001,0.010425229894531289,5.378269875842971e-06,0.06026079930676124,False,,11143,92928,0,0.11530291599990505,60.520833333333336,72.0,27.833333333333332,51.0,48.0,35165263360.0,54794387456.0,32.75020360946655,51.03125
12,0.03780894016862408,0.06281349555972744,50.12254447299995,3.6672874080005613,19.81698847300072,6.606140833999575,0.6600661370008538,28.632426177001093,0.9235444099999768,0.6256863229999681,0.001,0.0070864774637981135,3.34651513957831e-06,0.0676176153104344,False,,12152,92928,0,0.11772133400006624,62.69387755102041,100.0,29.93877551020408,68.0,49.0,35165197824.0,54794387456.0,32.7501425743103,51.03125
13,0.03690629944041084,0.05772638759192299,50.17159983600004,3.6729652770009125,19.820305667999833,6.600035841001386,0.6526416989989912,28.618038882000178,0.9175425870000709,0.6275130869998975,0.001,0.006928929167586582,3.6090842508436987e-06,0.06983958217036573,False,,13161,92928,0,0.11807441299993116,60.51020408163265,84.0,28.142857142857142,45.0,49.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
14,0.03726983769763435,0.052787948618916905,49.700985908999996,3.620259809000231,19.620277777000297,6.492172723000749,0.6318411789997072,28.281461596000668,0.9114402459999837,0.6257296709999309,0.001,0.009951952135905752,7.571861982250408e-06,0.07494369379120004,False,,14170,92928,0,0.1220675490000076,59.895833333333336,82.0,27.5,45.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
15,0.034050570652094096,0.05125237420639571,49.630466515999956,3.5715991210001903,19.59262314999887,6.4909619559985,0.6325617569995075,28.228359556996793,0.9039648539999234,0.60824783999999,0.001,0.007394121293809491,6.655847643810154e-06,0.05797860360293857,False,,15179,92928,0,0.12265176800008248,61.5625,98.0,28.75,59.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
16,0.03979450396002981,0.08234957101590493,49.630172404000064,3.5937887960014905,19.582623332999674,6.491270465001094,0.6342585699993606,28.224694675000137,0.9132502710000381,0.6032920359999707,0.001,0.008658065055399351,1.0805196207483382e-05,0.07953248751871397,False,,16188,92928,0,0.1362147449999611,59.916666666666664,81.0,27.770833333333332,46.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
17,0.03875692028131531,0.06363717072150286,49.718790068999965,3.594940250999798,19.602846341999566,6.483116952001751,0.6253006509987244,28.234554143000082,0.9028859730000249,0.6204042250000157,0.001,0.014296236517957422,0.0006316533609638719,0.05924411462722053,False,,17197,92928,0,0.13110588099993947,59.75,83.0,27.75,46.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
18,0.034386817653234994,0.05132401131970041,49.66737373900003,3.40473104800094,19.800440204000438,6.504197664999538,0.6256603300007555,28.481540175000646,0.9215120669999806,0.6297299089999342,0.001,0.009556019073442397,1.8095112152540488e-06,0.06275600107338292,False,,18206,92928,0,0.13331192399994052,64.16666666666667,82.0,30.604166666666668,54.0,48.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
19,0.033584250198784936,0.047139724387842065,49.95595654700003,3.5940724520006597,19.758646004999378,6.533149766000861,0.6394922430013139,28.49099434500158,0.9232529060000161,0.6364534250000133,0.001,0.010615067574322509,9.435273889840614e-06,0.06407771945218746,False,,19215,92928,0,0.12780650599995624,58.57142857142857,100.0,26.857142857142858,71.0,49.0,35165267456.0,54794387456.0,32.75020742416382,51.03125
20,0.028906063974601506,0.03947127002346165,49.303063215000066,3.3764438020012904,19.51684530600039,6.483763761999853,0.6266186680011288,28.15333024200129,0.9166203269999187,0.6094821789999969,0.001,0.006231100810027936,3.0334662146967463e-06,0.04685381236595427,False,,20224,92928,0,0.13323600700005045,60.166666666666664,83.0,27.333333333333332,47.0,48.0,35165266944.0,54794387456.0,32.75020694732666,51.03125
21,0.0260426169800118,0.04352019584792502,49.47478431899981,3.5810131809987524,19.506652095000618,6.449691464000125,0.6198894950007343,28.0875998430015,0.9012884399999166,0.6100783490001049,0.001,0.019549382397410754,1.7848774350554636e-06,0.0440575657413114,False,,21233,92928,0,0.1334463749999486,62.020833333333336,100.0,29.291666666666668,71.0,48.0,35165266944.0,54794387456.0,32.75020694732666,51.03125
