epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib
1,0.08037745874611142,0.09153458958162981,53.810448854,3.4903190140000255,23.21202302400008,6.163387144000037,0.7592339700000217,31.848812367000132,1.0425260800000018,0.6716421489999931,6.080000000000005e-05,0.058878116972890436,0.011708884322963345,0.1043043685228054,False,,1052,92928,0,0.7247728449999897,59.30769230769231,86.0,25.442307692307693,47.0,52.0,35171737600.0,67243081728.0,32.75623321533203,62.625
2,0.05237151594119295,0.06387761936468236,53.19165780399999,3.4536992130000783,22.555081692999792,6.42758446000002,0.739444130999928,31.43322874599974,1.0127071299999955,0.6984113320000063,0.00012060000000000064,0.03118534735144682,0.004106801115462483,0.176952651427377,False,,2061,92928,0,0.095064758999996,61.32692307692308,89.0,26.557692307692307,48.0,52.0,35171737600.0,67243081728.0,32.75623321533203,62.625
3,0.03822317748194555,0.051792889039086944,51.367377014,3.0233000800001264,21.782277555999713,5.910421015999987,0.6556471829998713,30.03642519199957,0.994731435999995,0.6933480010000039,0.00018040000000000094,0.023401484925085127,0.005715831985776348,0.17240034823283468,False,,3070,92928,0,0.10377202200001534,63.52,79.0,27.54,40.0,50.0,35171737600.0,67243081728.0,32.75623321533203,62.625
4,0.030050402840717437,0.03679396212100983,51.79754008699999,3.226357084999904,21.965596022000454,6.025396066000013,0.6887931009999306,30.361413423000414,0.9877504090000002,0.6938778250000155,0.0002402000000000009,0.01941744088841848,0.004639936785750262,0.14780155412398302,False,,4079,92928,0,0.09843322099999341,62.13725490196079,100.0,26.313725490196077,50.0,51.0,35171389440.0,67243081728.0,32.75590896606445,62.625
5,0.024346736323899144,0.037857082617633486,51.29060760499999,3.128909634000223,21.67034208199979,5.9278517260002275,0.658159886999897,29.931464500000004,0.9866007070000364,0.6885100980000516,0.0002999999999999999,0.016342229082429823,0.0031523040021637335,0.11994436644491083,False,,5088,92928,0,0.10309037199999693,64.16,100.0,27.48,58.0,50.0,35171737600.0,67243081728.0,32.75623321533203,62.625
6,0.021654287273623563,0.03417758199879352,51.128303932999984,3.092590590999805,21.58419092299954,5.8703008899998395,0.6541322779995085,29.784773712998856,0.9874795349999772,0.6886700869999913,0.0002996711467850862,0.014525794307592205,0.002550698671186445,0.11025053703484636,False,,6097,92928,0,0.09704592700001058,61.3,89.0,26.2,50.0,50.0,35171389440.0,67243081728.0,32.75590896606445,62.625
7,0.020640865358275157,0.034449920359560675,51.66690435500004,3.22045615499934,21.84931447000025,5.988668052000378,0.6780986099997222,30.211595700000373,0.9987070930000073,0.6968074750000142,0.00029868618928013165,0.013675124975463982,0.0023525457370654475,0.11185229683912662,False,,7106,92928,0,0.09942637500000728,62.08,78.0,27.08,40.0,50.0,35171737600.0,67243081728.0,32.75623321533203,62.625
8,0.01883575187600923,0.03254980851403054,51.61221817500001,3.2004015489997073,21.783014179000986,5.977241128000401,0.6688831000001869,30.115347579001536,0.9950120039999888,0.6911971679999738,0.000297049926099093,0.011446248887217845,0.0022094236556176854,0.09669517636430315,False,,8115,92928,0,0.10488542299998471,63.11764705882353,88.0,26.470588235294116,50.0,51.0,35171737600.0,67243081728.0,32.75623321533203,62.625
9,0.019318454213871444,0.0283590030089459,51.63466049300001,3.1865491089993156,21.79528561900031,5.968575339999916,0.6654492659990865,30.110390592999295,0.9921334800000068,0.6889468879999754,0.0002947703289517121,0.013448778331312956,0.002362253619072314,0.09469197073759754,False,,9124,92928,0,0.10786595399997623,64.54,82.0,27.62,42.0,50.0,35171737600.0,67243081728.0,32.75623321533203,62.625
10,0.017201950145018165,0.030649334164884162,51.81345882599999,3.238749640001174,21.89700024300066,6.03780677400124,0.6830960740005025,30.324747847002413,1.0055354249999482,0.7013093310000613,0.0002918585038061463,0.011392140323451695,0.0021514359483232035,0.08722337511381155,False,,10133,92928,0,0.10236646600003496,63.64705882352941,81.0,27.470588235294116,46.0,51.0,35171737600.0,67243081728.0,32.75623321533203,62.625
