epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib,val_spearman,val_pearson,val_rmse_log10,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_n_samples,val_dissociation_constant_kd_spearman,val_dissociation_constant_kd_pearson,val_dissociation_constant_kd_rmse_log10,val_dissociation_constant_kd_accuracy,val_dissociation_constant_kd_balanced_accuracy,val_dissociation_constant_kd_precision,val_dissociation_constant_kd_recall,val_dissociation_constant_kd_f1,val_dissociation_constant_kd_auroc,val_dissociation_constant_kd_auprc,val_dissociation_constant_kd_n_samples,val_dissociation_constant_kd_(~ec50)_spearman,val_dissociation_constant_kd_(~ec50)_pearson,val_dissociation_constant_kd_(~ec50)_rmse_log10,val_dissociation_constant_kd_(~ec50)_accuracy,val_dissociation_constant_kd_(~ec50)_balanced_accuracy,val_dissociation_constant_kd_(~ec50)_precision,val_dissociation_constant_kd_(~ec50)_recall,val_dissociation_constant_kd_(~ec50)_f1,val_dissociation_constant_kd_(~ec50)_auroc,val_dissociation_constant_kd_(~ec50)_auprc,val_dissociation_constant_kd_(~ec50)_n_samples,val_dissociation_constant_kd_(~ic50)_spearman,val_dissociation_constant_kd_(~ic50)_pearson,val_dissociation_constant_kd_(~ic50)_rmse_log10,val_dissociation_constant_kd_(~ic50)_accuracy,val_dissociation_constant_kd_(~ic50)_balanced_accuracy,val_dissociation_constant_kd_(~ic50)_precision,val_dissociation_constant_kd_(~ic50)_recall,val_dissociation_constant_kd_(~ic50)_f1,val_dissociation_constant_kd_(~ic50)_auroc,val_dissociation_constant_kd_(~ic50)_auprc,val_dissociation_constant_kd_(~ic50)_n_samples,val_half_maximal_effective_concentration_(ec50)_spearman,val_half_maximal_effective_concentration_(ec50)_pearson,val_half_maximal_effective_concentration_(ec50)_rmse_log10,val_half_maximal_effective_concentration_(ec50)_accuracy,val_half_maximal_effective_concentration_(ec50)_balanced_accuracy,val_half_maximal_effective_concentration_(ec50)_precision,val_half_maximal_effective_concentration_(ec50)_recall,val_half_maximal_effective_concentration_(ec50)_f1,val_half_maximal_effective_concentration_(ec50)_auroc,val_half_maximal_effective_concentration_(ec50)_auprc,val_half_maximal_effective_concentration_(ec50)_n_samples,val_half_maximal_inhibitory_concentration_(ic50)_spearman,val_half_maximal_inhibitory_concentration_(ic50)_pearson,val_half_maximal_inhibitory_concentration_(ic50)_rmse_log10,val_half_maximal_inhibitory_concentration_(ic50)_accuracy,val_half_maximal_inhibitory_concentration_(ic50)_balanced_accuracy,val_half_maximal_inhibitory_concentration_(ic50)_precision,val_half_maximal_inhibitory_concentration_(ic50)_recall,val_half_maximal_inhibitory_concentration_(ic50)_f1,val_half_maximal_inhibitory_concentration_(ic50)_auroc,val_half_maximal_inhibitory_concentration_(ic50)_auprc,val_half_maximal_inhibitory_concentration_(ic50)_n_samples,val_coverage_weighted_spearman
1,0.09219433388338899,0.05862267781049013,19.1833088,1.6634254869999836,8.602601576999996,2.9493172540000057,0.39986407699998594,12.757698378999986,0.550575594999998,0.25533987600000074,0.001,0.08495949623323353,0.03183989331891019,0.1089097961378061,False,,1052,27136,0,1.0638831459999984,35.111111111111114,72.0,5.888888888888889,12.0,18.0,9511293440.0,25253904384.0,8.858082294464111,23.51953125,0.5939347743988037,0.5912939310073853,1.313474178314209,0.736320972442627,0.7023021876811981,0.7303571701049805,0.5353403091430664,0.6178247798378219,0.8154302835464478,0.6868909597396851,1919.0,0.5410292148590088,0.5363532304763794,1.5232796669006348,0.7099236845970154,0.703463226556778,0.6428571343421936,0.6666666865348816,0.6545454597079061,0.7847522497177124,0.6778205633163452,131.0,0.5373051166534424,0.6331455707550049,1.1068793535232544,0.8313252925872803,0.8251689076423645,0.6341463327407837,0.8125,0.712328761620288,0.8820945620536804,0.6659402251243591,249.0,0.5971312522888184,0.5824467539787292,1.3487404584884644,0.7159420251846313,0.6954624354839325,0.7419354915618896,0.5348837375640869,0.621621635554044,0.8183090686798096,0.7455629706382751,690.0,0.007018716540187597,0.003689492354169488,1.1835973262786865,0.8484848737716675,0.5,0.0,0.0,0.0,0.4285714626312256,0.18679997324943542,33.0,0.6278038620948792,0.6060054898262024,1.3099528551101685,0.7242646813392639,0.6880252212285995,0.7804877758026123,0.47058823704719543,0.5871559564397646,0.8165780305862427,0.7100847959518433,816.0,0.5884335249545438
2,0.05310564639292798,0.04701898107305169,16.56609969,1.7895647610000154,6.51040024600001,2.5029554379999226,0.26931771899998935,10.129329076999927,0.594053811000002,0.2526018630000024,0.001,0.0766967847368769,0.03614796896357762,0.19772124098435656,False,,2061,27136,0,0.4565338689999976,44.3125,71.0,8.6875,18.0,16.0,9511293952.0,25253904384.0,8.85808277130127,23.51953125,0.7122049927711487,0.6990646719932556,1.127793312072754,0.7722772359848022,0.7893321514129639,0.6623634696006775,0.8730366230010986,0.7532467524078061,0.8776761293411255,0.7818909287452698,1919.0,0.6388298869132996,0.6873095631599426,1.2942579984664917,0.8091602921485901,0.8210678100585938,0.7164179086685181,0.8888888955116272,0.7933884312990755,0.853294849395752,0.7467828392982483,131.0,0.5976082682609558,0.6893078088760376,1.0853899717330933,0.827309250831604,0.8429054021835327,0.6153846383094788,0.875,0.7225806609648942,0.9092060923576355,0.6867507696151733,249.0,0.7204169631004333,0.6903130412101746,1.1228415966033936,0.7652173638343811,0.7767424881458282,0.6814621686935425,0.8671096563339233,0.7631579205439145,0.8772044777870178,0.8340550661087036,690.0,0.14505347609519958,0.07724711298942566,1.1525375843048096,0.8484848737716675,0.5,0.0,0.0,0.0,0.550000011920929,0.23530727624893188,33.0,0.7470067143440247,0.7209154367446899,1.1148853302001953,0.7524510025978088,0.771848738193512,0.6480686664581299,0.8882352709770203,0.7493796423176214,0.8801780343055725,0.8215019106864929,816.0,0.7003247119008781
3,0.04613480785475025,0.043007317930459976,17.079424990000007,1.9663517180000127,6.807307266000024,2.589868721000016,0.2876627250000183,10.450608248000052,0.531909395999989,0.23386014000000444,0.001,0.07475484057212343,0.03503847293825085,0.19179131946825798,False,,3070,27136,0,0.44589395999999226,40.8125,72.0,7.5625,16.0,16.0,9511293952.0,25253904384.0,8.85808277130127,23.51953125,0.7338263988494873,0.7353556156158447,1.05748450756073,0.8165711164474487,0.8070754408836365,0.7746666669845581,0.7604712247848511,0.7675033131554476,0.8870923519134521,0.8050969243049622,1919.0,0.6563444137573242,0.7037369608879089,1.2876267433166504,0.7862595319747925,0.7711640298366547,0.7708333134651184,0.6851851940155029,0.7254901922285348,0.8715729117393494,0.7522488236427307,131.0,0.6054675579071045,0.7086933851242065,1.016325831413269,0.8594377636909485,0.8185388445854187,0.7230769395828247,0.734375,0.7286821789240351,0.9173986911773682,0.7159597873687744,249.0,0.7299033999443054,0.7314621210098267,1.0706225633621216,0.8057971000671387,0.8003313839435577,0.7889273166656494,0.7574750781059265,0.7728813442499669,0.8824483752250671,0.8499323129653931,690.0,0.6233288645744324,0.5512074828147888,0.9426923990249634,0.8181818127632141,0.646428570151329,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.8071428537368774,0.38058608770370483,33.0,0.7596432566642761,0.7514297962188721,1.021429419517517,0.8174019455909729,0.8128151297569275,0.7784256339073181,0.7852941155433655,0.7818447901681501,0.8877965807914734,0.8377230167388916,816.0,0.7195490547429155
4,0.04136651608530643,0.04583835136145353,16.768413143999993,1.7433641629999954,6.638761478000077,2.5196582559999996,0.27917546799999116,10.390710188000071,0.7276657000000029,0.22544928599999992,0.001,0.0540175247827927,0.026018771207280612,0.14427668367555782,False,,4079,27136,0,0.4468009940000002,40.625,67.0,7.875,15.0,16.0,9511293440.0,25253904384.0,8.858082294464111,23.51953125,0.7272045612335205,0.723757803440094,1.132411241531372,0.7967691421508789,0.7700210809707642,0.8106312155723572,0.6387434601783752,0.7144948731701727,0.8818238377571106,0.806949257850647,1919.0,0.6734158992767334,0.659606397151947,1.4751337766647339,0.7480915784835815,0.7165704667568207,0.7837837934494019,0.5370370149612427,0.6373626250112819,0.8653199076652527,0.7638335227966309,131.0,0.6013906002044678,0.71367347240448,1.0115042924880981,0.8674699068069458,0.793285459280014,0.8039215803146362,0.640625,0.7130434828579764,0.9196791052818298,0.7192273736000061,249.0,0.7297027111053467,0.7288308143615723,1.1346309185028076,0.7840579748153687,0.7682745456695557,0.8220338821411133,0.644518256187439,0.7225325720071825,0.8821408748626709,0.8491009473800659,690.0,0.5972593426704407,0.5537498593330383,0.8919605016708374,0.8484848737716675,0.7464285790920258,0.5,0.6000000238418579,0.5454545553065526,0.7714285850524902,0.35555559396743774,33.0,0.7655912041664124,0.7334733009338379,1.1105923652648926,0.7916666865348816,0.7714285552501678,0.8125,0.6499999761581421,0.7222222075050257,0.8880190253257751,0.8387351632118225,816.0,0.72219416040999
5,0.039900012173742616,0.04041585442610085,16.704375006999996,1.762266579999988,6.59750934400013,2.4883615189999517,0.27558435899993583,10.228436210000012,0.6170195170000028,0.24996147099999177,0.001,0.05238256595685955,0.02569373539266497,0.1497438033373313,False,,5088,27136,0,0.5437740679999905,39.733333333333334,72.0,8.2,16.0,15.0,9511293952.0,25253904384.0,8.85808277130127,23.51953125,0.7395467162132263,0.7421329021453857,1.0596812963485718,0.8092756867408752,0.7883864641189575,0.8061538338661194,0.6858638525009155,0.7411598123211307,0.8928934335708618,0.8152056336402893,1919.0,0.6598675847053528,0.6863343119621277,1.3353840112686157,0.7786259651184082,0.7536075115203857,0.8048780560493469,0.6111111044883728,0.6947368405334177,0.872053861618042,0.7528097033500671,131.0,0.6235918998718262,0.7064999938011169,1.0041989088058472,0.8514056205749512,0.7824746668338776,0.7454545497894287,0.640625,0.6890756321040917,0.9245776534080505,0.7154294848442078,249.0,0.7396776080131531,0.7506589889526367,1.0571497678756714,0.7956521511077881,0.7830667197704315,0.817460298538208,0.684385359287262,0.7450271034217801,0.8901433944702148,0.8640725612640381,690.0,0.6918449401855469,0.5846652984619141,0.8716137409210205,0.8484848737716675,0.5821428671479225,0.5,0.20000000298023224,0.285714288755339,0.8714285492897034,0.5455122590065002,33.0,0.7631276249885559,0.7501567602157593,1.0349293947219849,0.811274528503418,0.7974790036678314,0.8100000023841858,0.7147058844566345,0.7593750022351742,0.8904287815093994,0.843925952911377,816.0,0.7283155868735519
6,0.03580192335934009,0.036191958701238036,16.595017639000005,1.936198802999911,6.50561927900003,2.4589471260000124,0.2681460419999411,9.96958292299999,0.5073004139999995,0.22957006200000762,0.001,0.044421029131497806,0.02165993302685209,0.13715773177973725,False,,6097,27136,0,0.40301776299999403,37.733333333333334,60.0,7.0,15.0,15.0,9511293440.0,25253904384.0,8.858082294464111,23.51953125,0.7595682144165039,0.7698431611061096,0.9955693483352661,0.8301198482513428,0.8172231018543243,0.8067227005958557,0.753926694393158,0.7794316659526676,0.9018823504447937,0.8406113386154175,1919.0,0.7073933482170105,0.7508172392845154,1.2137919664382935,0.8167939186096191,0.7971380650997162,0.8409090638160706,0.6851851940155029,0.755102035255543,0.8973064422607422,0.848771333694458,131.0,0.6518732905387878,0.8084506392478943,0.8351883888244629,0.891566276550293,0.8452702760696411,0.8135592937469482,0.75,0.7804877918610781,0.9547296762466431,0.835154116153717,249.0,0.755028247833252,0.7664656639099121,0.9951947331428528,0.821739137172699,0.8171006739139557,0.8047945499420166,0.7807309031486511,0.79258011859796,0.8964291214942932,0.8700249195098877,690.0,0.6356951594352722,0.5496330857276917,0.9063283801078796,0.8787878751754761,0.6821428686380386,0.6666666865348816,0.4000000059604645,0.5000000102445483,0.8642856478691101,0.5751082301139832,33.0,0.7681807279586792,0.7624548673629761,1.0054097175598145,0.8186274766921997,0.808403342962265,0.8037974834442139,0.7470588088035583,0.7743902429938313,0.8901755213737488,0.8328862190246582,816.0,0.7419321955399566
7,0.03192359140529385,0.036924052983522415,15.76771188299999,1.71744741400002,6.191728268999896,2.3086680200000274,0.24350453799981153,9.478696182999741,0.5189942389999942,0.21580111700001225,0.001,0.047410593153518595,0.022914805017106004,0.1405880500399487,False,,7106,27136,0,0.39456805999998323,42.4,72.0,7.8,16.0,15.0,9511293440.0,25253904384.0,8.858082294464111,23.51953125,0.7721240520477295,0.7777337431907654,0.9820421934127808,0.8327254056930542,0.8284711241722107,0.7800253033638,0.8075916171073914,0.7935691387583516,0.9087520837783813,0.8593648076057434,1919.0,0.7327336668968201,0.806222677230835,1.1516495943069458,0.8396946787834167,0.8249158263206482,0.8510638475418091,0.7407407164573669,0.7920792017271906,0.917267918586731,0.9025077223777771,131.0,0.6679276823997498,0.8399642705917358,0.7793716788291931,0.9116466045379639,0.8690033853054047,0.8620689511299133,0.78125,0.819672124644051,0.9678210020065308,0.8864849805831909,249.0,0.7656964659690857,0.7641695737838745,1.0011844635009766,0.8144927620887756,0.8148075342178345,0.7711598873138428,0.8172757625579834,0.7935484009181052,0.90087890625,0.8769127726554871,690.0,0.48094919323921204,0.47593405842781067,0.9603973627090454,0.8484848737716675,0.6642857044935226,0.5,0.4000000059604645,0.4444444481237435,0.8785714507102966,0.5722222328186035,33.0,0.7753840684890747,0.7701425552368164,0.99239182472229,0.8223039507865906,0.8220588266849518,0.7685950398445129,0.820588231086731,0.7937411067742502,0.8946181535720825,0.8394396305084229,816.0,0.7499830057653305
8,0.029658345962470432,0.035103592090308666,15.741711922999997,1.7221366209999474,6.18199200299992,2.3311335799999995,0.240879916000182,9.472115528000074,0.5001322989999721,0.2179777300000012,0.001,0.03896292028701053,0.017587833882706447,0.11312572606278948,False,,8115,27136,0,0.4290414809999845,47.8,61.0,9.866666666666667,14.0,15.0,9511293952.0,25253904384.0,8.85808277130127,23.51953125,0.781904935836792,0.7894194722175598,0.9539382457733154,0.8394997119903564,0.8376436233520508,0.7814815044403076,0.8285340070724487,0.8043202039942627,0.9154348373413086,0.86827152967453,1919.0,0.7324721217155457,0.8077898025512695,1.1124627590179443,0.8396946787834167,0.8221500515937805,0.8666666746139526,0.7222222089767456,0.7878787832811843,0.9211159944534302,0.8982308506965637,131.0,0.6827011108398438,0.860758364200592,0.7224876284599304,0.9196786880493164,0.8846283853054047,0.8666666746139526,0.8125,0.8387096811407686,0.9755067825317383,0.9149421453475952,249.0,0.7719042301177979,0.7727867364883423,0.9805189371109009,0.8231884241104126,0.8255258798599243,0.7720364928245544,0.8438538312911987,0.806349221409103,0.9063447117805481,0.8861228227615356,690.0,0.6239973306655884,0.5555158853530884,0.8847231864929199,0.8484848737716675,0.5821428671479225,0.5,0.20000000298023224,0.285714288755339,0.9071428179740906,0.6111111640930176,33.0,0.7875235676765442,0.7803516387939453,0.9682337641716003,0.8284313678741455,0.8306722640991211,0.7673797011375427,0.8441176414489746,0.8039215781521092,0.9016868472099304,0.8378849029541016,816.0,0.7617360533929977
9,0.029211729641933488,0.03444192511960864,15.729833851999985,1.6877928389999681,6.1689344049999875,2.340900338000125,0.23790424000006283,9.489520807000218,0.5212929050000241,0.22048891900001877,0.001,0.040765399622175374,0.020002423340500643,0.12965663895689866,False,,9124,27136,0,0.41982973899999365,44.86666666666667,74.0,9.066666666666666,17.0,15.0,9511293952.0,25253904384.0,8.85808277130127,23.51953125,0.7820786833763123,0.7904470562934875,0.9588895440101624,0.8421052694320679,0.8362633287906647,0.7981888651847839,0.8075916171073914,0.8028627119337535,0.9129258394241333,0.8654264807701111,1919.0,0.7368120551109314,0.8133375644683838,1.1301116943359375,0.8549618124961853,0.8379028141498566,0.8888888955116272,0.7407407164573669,0.8080807963678657,0.9252044558525085,0.9027594327926636,131.0,0.6684827208518982,0.8630985617637634,0.7195347547531128,0.9116466045379639,0.8741131722927094,0.8500000238418579,0.796875,0.8225806563255317,0.9745776653289795,0.9099687933921814,249.0,0.7708633542060852,0.7766241431236267,0.981381356716156,0.8318840861320496,0.8291043639183044,0.8073089718818665,0.8073089718818665,0.8073089718818665,0.9024161100387573,0.8790910243988037,690.0,0.49231284856796265,0.4025166630744934,0.9750762581825256,0.8181818127632141,0.4821428656578064,0.0,0.0,0.0,0.778571367263794,0.3529762029647827,33.0,0.7875114679336548,0.7797843813896179,0.9728661179542542,0.8284313678741455,0.8289915919303894,0.7732240557670593,0.8323529362678528,0.8016997209146047,0.8992894291877747,0.8393619656562805,816.0,0.7575434981503171
10,0.027954869973912555,0.03363987593911588,15.781619178,1.7259440009998457,6.189611930000211,2.336882794000047,0.2413778530002162,9.499363897000478,0.5037523869999916,0.2277389330000119,0.001,0.04088681601890613,0.019858070359481,0.1205038885813469,False,,10133,27136,0,0.3941356779999978,41.266666666666666,66.0,7.866666666666666,14.0,15.0,9511293440.0,25253904384.0,8.858082294464111,23.51953125,0.7824745774269104,0.7932381629943848,0.9655249714851379,0.8436685800552368,0.82759228348732,0.841176450252533,0.7486910820007324,0.7922437485097095,0.9163017272949219,0.8695406913757324,1919.0,0.7399775981903076,0.8228543996810913,1.131645917892456,0.8320610523223877,0.8045935332775116,0.9210526347160339,0.6481481194496155,0.7608695465134759,0.924001932144165,0.9166893362998962,131.0,0.6711465120315552,0.8564794063568115,0.7708348035812378,0.9156626462936401,0.8614864945411682,0.9056603908538818,0.75,0.820512826051363,0.9801520109176636,0.924907386302948,249.0,0.7706079483032227,0.7872085571289062,0.9744577407836914,0.8260869383811951,0.8171988725662231,0.8364312052726746,0.7475082874298096,0.7894736644762338,0.9042694568634033,0.8802854418754578,690.0,0.6808155179023743,0.6268494129180908,0.8491838574409485,0.8787878751754761,0.6000000014901161,1.0,0.20000000298023224,0.3333333374725448,0.9428570866584778,0.7226190567016602,33.0,0.7862114906311035,0.7757654190063477,0.9865846037864685,0.8370097875595093,0.8279411792755127,0.8244513869285583,0.7735294103622437,0.7981790473132021,0.9020019769668579,0.8393408060073853,816.0,0.7607021988711673
