epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib,val_spearman,val_pearson,val_rmse_log10,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_n_samples,val_dissociation_constant_kd_spearman,val_dissociation_constant_kd_pearson,val_dissociation_constant_kd_rmse_log10,val_dissociation_constant_kd_accuracy,val_dissociation_constant_kd_balanced_accuracy,val_dissociation_constant_kd_precision,val_dissociation_constant_kd_recall,val_dissociation_constant_kd_f1,val_dissociation_constant_kd_auroc,val_dissociation_constant_kd_auprc,val_dissociation_constant_kd_n_samples,val_dissociation_constant_kd_(~ec50)_spearman,val_dissociation_constant_kd_(~ec50)_pearson,val_dissociation_constant_kd_(~ec50)_rmse_log10,val_dissociation_constant_kd_(~ec50)_accuracy,val_dissociation_constant_kd_(~ec50)_balanced_accuracy,val_dissociation_constant_kd_(~ec50)_precision,val_dissociation_constant_kd_(~ec50)_recall,val_dissociation_constant_kd_(~ec50)_f1,val_dissociation_constant_kd_(~ec50)_auroc,val_dissociation_constant_kd_(~ec50)_auprc,val_dissociation_constant_kd_(~ec50)_n_samples,val_dissociation_constant_kd_(~ic50)_spearman,val_dissociation_constant_kd_(~ic50)_pearson,val_dissociation_constant_kd_(~ic50)_rmse_log10,val_dissociation_constant_kd_(~ic50)_accuracy,val_dissociation_constant_kd_(~ic50)_balanced_accuracy,val_dissociation_constant_kd_(~ic50)_precision,val_dissociation_constant_kd_(~ic50)_recall,val_dissociation_constant_kd_(~ic50)_f1,val_dissociation_constant_kd_(~ic50)_auroc,val_dissociation_constant_kd_(~ic50)_auprc,val_dissociation_constant_kd_(~ic50)_n_samples,val_half_maximal_effective_concentration_(ec50)_spearman,val_half_maximal_effective_concentration_(ec50)_pearson,val_half_maximal_effective_concentration_(ec50)_rmse_log10,val_half_maximal_effective_concentration_(ec50)_accuracy,val_half_maximal_effective_concentration_(ec50)_balanced_accuracy,val_half_maximal_effective_concentration_(ec50)_precision,val_half_maximal_effective_concentration_(ec50)_recall,val_half_maximal_effective_concentration_(ec50)_f1,val_half_maximal_effective_concentration_(ec50)_auroc,val_half_maximal_effective_concentration_(ec50)_auprc,val_half_maximal_effective_concentration_(ec50)_n_samples,val_half_maximal_inhibitory_concentration_(ic50)_spearman,val_half_maximal_inhibitory_concentration_(ic50)_pearson,val_half_maximal_inhibitory_concentration_(ic50)_rmse_log10,val_half_maximal_inhibitory_concentration_(ic50)_accuracy,val_half_maximal_inhibitory_concentration_(ic50)_balanced_accuracy,val_half_maximal_inhibitory_concentration_(ic50)_precision,val_half_maximal_inhibitory_concentration_(ic50)_recall,val_half_maximal_inhibitory_concentration_(ic50)_f1,val_half_maximal_inhibitory_concentration_(ic50)_auroc,val_half_maximal_inhibitory_concentration_(ic50)_auprc,val_half_maximal_inhibitory_concentration_(ic50)_n_samples,val_coverage_weighted_spearman
1,0.1764838677953999,0.11653958540409803,21.378742668999998,1.6039556960000034,9.837207370999993,3.3102773830000096,0.43985857200002343,14.432816547000025,0.5879391409999997,0.2575340799999992,6.0800000000000035e-05,0.1312298450250644,0.01794801159938322,0.1805431518545951,False,,1052,27136,0,0.992342641999997,40.8421052631579,96.0,7.7368421052631575,26.0,19.0,9511746048.0,25253904384.0,8.858503818511963,23.51953125,0.019707592204213142,-0.025333568453788757,1.6237157583236694,0.4095883369445801,0.49756012484431267,0.3968697488307953,0.9293193817138672,0.5562083734661579,0.5013191103935242,0.3778446912765503,1919.0,0.02172102779150009,-0.003995674662292004,1.779716968536377,0.580152690410614,0.4935064911842346,0.0,0.0,0.0,0.4898989796638489,0.45016688108444214,131.0,0.14158181846141815,0.1631694883108139,1.7430256605148315,0.25702810287475586,0.5,0.25702810287475586,1.0,0.40894567478156835,0.6324324607849121,0.34555286169052124,249.0,0.002433198504149914,0.0010029898257926106,1.5680345296859741,0.4362318813800812,0.5,0.4362318813800812,1.0,0.6074672022471805,0.5076480507850647,0.4524880647659302,690.0,0.5688502788543701,0.6767688393592834,1.5378987789154053,0.1515151560306549,0.5,0.1515151560306549,1.0,0.26315790154762214,0.7571429014205933,0.4303620159626007,33.0,0.026729879900813103,0.24531736969947815,1.6093147993087769,0.4166666567325592,0.5,0.4166666567325592,1.0,0.5882352842179136,0.48344042897224426,0.3696129322052002,816.0,0.041876954458937354
2,0.10277153179049492,0.09946217527613044,18.379397091,1.8317046940000452,7.408474490000025,2.8370912209999943,0.3329507170000099,11.476436137000029,0.6108741090000009,0.287045599999999,0.00012060000000000029,0.07969544376813004,0.013056467696641849,0.07130831702805918,False,,2061,27136,0,0.4385942350000036,35.77777777777778,56.0,5.944444444444445,13.0,18.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125,0.3817208707332611,0.37624701857566833,1.4925246238708496,0.6018759608268738,0.5,0.0,0.0,0.0,0.6935721635818481,0.6264578104019165,1919.0,0.16962578892707825,0.13878187537193298,1.8990358114242554,0.5877862572669983,0.5,0.0,0.0,0.0,0.5692640542984009,0.4510573148727417,131.0,0.14677031338214874,0.21780967712402344,1.418935775756836,0.7429718971252441,0.5,0.0,0.0,0.0,0.6635134816169739,0.38290271162986755,249.0,0.2814698815345764,0.29068511724472046,1.5812550783157349,0.5637680888175964,0.5,0.0,0.0,0.0,0.6322113275527954,0.5616872310638428,690.0,0.7245989441871643,0.6989213228225708,1.030539870262146,0.8484848737716675,0.5,0.0,0.0,0.0,0.8499999642372131,0.44031745195388794,33.0,0.7184208631515503,0.7185487747192383,1.3741129636764526,0.5833333134651184,0.5,0.0,0.0,0.0,0.8573405742645264,0.7694532871246338,816.0,0.44977811054210604
3,0.08046159113071999,0.06660675024613738,18.589244709999996,1.8768712860000676,7.466273949999973,2.9267509970000205,0.3357570469999729,11.625338744999958,0.6064880489999922,0.29006870199999923,0.00018040000000000056,0.06264220340178824,0.028440209306773122,0.16258310106328597,False,,3070,27136,0,0.46260778399999936,37.888888888888886,56.0,6.388888888888889,13.0,18.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125,0.6545547246932983,0.6225854158401489,1.239452600479126,0.727983295917511,0.6975912749767303,0.7030201554298401,0.5484293103218079,0.616176473019857,0.8383253216743469,0.7394810914993286,1919.0,0.38727378845214844,0.36222636699676514,1.6858571767807007,0.6259542107582092,0.5850168317556381,0.5757575631141663,0.35185185074806213,0.43678160470674493,0.6746032238006592,0.5267379283905029,131.0,0.4461725652217865,0.5382552146911621,1.2361913919448853,0.759036123752594,0.5670185685157776,0.6111111044883728,0.171875,0.268292682288588,0.848733127117157,0.5841175317764282,249.0,0.5451010465621948,0.5198866128921509,1.4334077835083008,0.626086950302124,0.5804473534226418,0.7362637519836426,0.2225913554430008,0.34183672850723457,0.7743937969207764,0.6687276363372803,690.0,0.7142379879951477,0.6346300840377808,0.8197695016860962,0.8181818127632141,0.5642857030034065,0.3333333432674408,0.20000000298023224,0.25000000512227416,0.7857142686843872,0.33522728085517883,33.0,0.7879155278205872,0.7859011888504028,0.9621056914329529,0.8174019455909729,0.8355042040348053,0.7117516398429871,0.9441176652908325,0.8116308387287563,0.9010751247406006,0.8328360319137573,816.0,0.6276490262953672
4,0.05584220345711933,0.05285228090360761,18.257385250999988,1.8384382409999915,7.349419020000028,2.8480141880001355,0.32877954800007103,11.37043347200023,0.5706902169999921,0.27353049900000315,0.00024020000000000115,0.09295630273990398,0.034895946701512505,0.28204861765283523,False,,4079,27136,0,0.4495315500000032,41.588235294117645,62.0,8.0,13.0,17.0,9511746048.0,25253904384.0,8.858503818511963,23.51953125,0.7260509729385376,0.7119962573051453,1.1461281776428223,0.778530478477478,0.7457860112190247,0.8054053783416748,0.5850785374641418,0.6777861943880382,0.8809738755226135,0.7909861207008362,1919.0,0.5951315760612488,0.5794787406921387,1.5308380126953125,0.7099236845970154,0.6813371777534485,0.699999988079071,0.5185185074806213,0.59574466924853,0.8083212971687317,0.6858630180358887,131.0,0.5692996382713318,0.6444199681282043,1.1081327199935913,0.8112449645996094,0.6992398500442505,0.6976743936538696,0.46875,0.560747655492358,0.903462827205658,0.6646060943603516,249.0,0.6598126292228699,0.646653950214386,1.3123911619186401,0.7028985619544983,0.6707419008016586,0.807692289352417,0.41860464215278625,0.5514223073834685,0.8417443037033081,0.7580781579017639,690.0,0.6420454382896423,0.5632491707801819,0.910241425037384,0.8181818127632141,0.5642857030034065,0.3333333432674408,0.20000000298023224,0.25000000512227416,0.7999999523162842,0.3965204954147339,33.0,0.8190740942955017,0.8178404569625854,0.921079695224762,0.841911792755127,0.8317226767539978,0.8370606899261475,0.770588219165802,0.8024502150139489,0.9253522157669067,0.860369086265564,816.0,0.7110685361990896
5,0.04777648419422923,0.04453544691205025,18.648681699999997,1.8958807380000025,7.549897059000031,2.9193571050000884,0.3416619179999998,11.64802385900012,0.5783718969999967,0.25873588000000325,0.0002999999999999999,0.09266943429725871,0.03338207046684035,0.27742853954600233,False,,5088,27136,0,0.4614650769999997,40.588235294117645,50.0,6.882352941176471,10.0,17.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125,0.746391773223877,0.7399395108222961,1.0587395429611206,0.81709223985672,0.8024126589298248,0.7937411069869995,0.7303664684295654,0.7607361822855853,0.8956177234649658,0.8104925751686096,1919.0,0.6225430965423584,0.6428416967391968,1.395086407661438,0.7404580116271973,0.7239057123661041,0.7083333134651184,0.6296296119689941,0.6666666479671702,0.8405482769012451,0.7291995882987976,131.0,0.5912188291549683,0.690865159034729,1.0282760858535767,0.8634538054466248,0.7956925630569458,0.7777777910232544,0.65625,0.7118644123274648,0.9115709066390991,0.6798855066299438,249.0,0.6806154847145081,0.6793774962425232,1.196446180343628,0.7710145115852356,0.7570822238922119,0.7894737124443054,0.6478405594825745,0.7116788604360605,0.8563485741615295,0.775205671787262,690.0,0.6223261952400208,0.5718123912811279,0.9038896560668945,0.7575757503509521,0.6107143014669418,0.2857142984867096,0.4000000059604645,0.33333334409528304,0.7785714268684387,0.37166666984558105,33.0,0.8270506262779236,0.8276787400245667,0.8703567981719971,0.8566176295280457,0.8539915978908539,0.8213256597518921,0.8382353186607361,0.8296943409514043,0.9327545762062073,0.8770794868469238,816.0,0.7263165159173283
6,0.04468448048914379,0.04311465588398278,18.118473085999995,1.8872264540000288,7.204964871999934,2.7948525449999693,0.32465874799993344,11.15127832599984,0.5789296070000063,0.24787255399999708,0.00029967114678507926,0.08151548285390371,0.02932353457019914,0.23790034029927623,False,,6097,27136,0,0.44691202199999225,42.166666666666664,62.0,7.944444444444445,13.0,18.0,9511759360.0,25253904384.0,8.858516216278076,23.51953125,0.7550157904624939,0.7521490454673767,1.024614930152893,0.8243877291679382,0.8195507824420929,0.7705956697463989,0.7958115339279175,0.7830006406260092,0.9005133509635925,0.8174655437469482,1919.0,0.6140180230140686,0.6360116600990295,1.3835140466690063,0.7633587718009949,0.7489177584648132,0.7346938848495483,0.6666666865348816,0.6990291404391517,0.830928385257721,0.7072340250015259,131.0,0.5891371965408325,0.7040683627128601,1.0073113441467285,0.8674699068069458,0.8188344538211823,0.7540983557701111,0.71875,0.7359999976730347,0.9166384935379028,0.6914831399917603,249.0,0.6964107751846313,0.6988439559936523,1.1291035413742065,0.7884057760238647,0.7830283045768738,0.7663230299949646,0.7408638000488281,0.7533783878014716,0.8649318218231201,0.7932025790214539,690.0,0.6517379879951477,0.5843915343284607,0.9004261493682861,0.7575757503509521,0.6107143014669418,0.2857142984867096,0.4000000059604645,0.33333334409528304,0.7714285254478455,0.3692857027053833,33.0,0.832211971282959,0.8319681286811829,0.8609253168106079,0.8541666865348816,0.8586134612560272,0.7900262475013733,0.8852941393852234,0.8349514664156104,0.9349542856216431,0.884200930595398,816.0,0.7338443355923087
7,0.042799519902130344,0.04230176471173763,18.133459251000005,1.9102264879997222,7.230552939000063,2.8812539900000615,0.3275010090000592,11.278715407000135,0.5725719089999757,0.26683555999997566,0.00029868618928011767,0.0800955263515567,0.02810723964838778,0.2339745514822668,False,,7106,27136,0,0.4229394310000032,36.72222222222222,72.0,6.055555555555555,16.0,18.0,9511759360.0,25253904384.0,8.858516216278076,23.51953125,0.7625455260276794,0.7615818381309509,1.0235745906829834,0.830640971660614,0.8207576870918274,0.7962213158607483,0.772251307964325,0.7840531524267327,0.9042995572090149,0.8282999396324158,1919.0,0.6486574411392212,0.6776047348976135,1.3580584526062012,0.7633587718009949,0.7461519837379456,0.7446808218955994,0.6481481194496155,0.6930692778908848,0.8648388981819153,0.7609304785728455,131.0,0.6156641840934753,0.7106306552886963,1.0026415586471558,0.8594377636909485,0.8032094538211823,0.7457627058029175,0.6875,0.7154471516821939,0.9152026772499084,0.6992039680480957,249.0,0.7098720669746399,0.7120654582977295,1.1446456909179688,0.7927536368370056,0.7831265032291412,0.7947761416435242,0.7076411843299866,0.7486819013956933,0.870858907699585,0.8180301785469055,690.0,0.6925133466720581,0.5974728465080261,0.866465151309967,0.7575757503509521,0.5285714343190193,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.8071428537368774,0.38937908411026,33.0,0.8372719883918762,0.8369782567024231,0.8501728773117065,0.8676470518112183,0.8684874176979065,0.8204419612884521,0.8735294342041016,0.8461538419699429,0.9385071992874146,0.8905277848243713,816.0,0.7473439894783552
8,0.04073309267537212,0.041147416457533836,18.469971729000008,1.766022987999662,7.3477195260000485,2.9108392360000437,0.33128474299996924,11.481633209000051,0.6075587979999852,0.2842309060000048,0.0002970499260990725,0.07626367195720325,0.027249869766960935,0.21795107733051194,False,,8115,27136,0,0.4580234290000078,40.833333333333336,65.0,7.444444444444445,14.0,18.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125,0.7670089602470398,0.7689571976661682,0.996926486492157,0.8348097801208496,0.8271010220050812,0.7944663763046265,0.7892670035362244,0.7918581551892867,0.9069502353668213,0.8266308307647705,1919.0,0.6503869891166687,0.6794451475143433,1.3439782857894897,0.7786259651184082,0.7646705210208893,0.7551020383834839,0.6851851940155029,0.7184466056947783,0.8631553649902344,0.7460415959358215,131.0,0.6176540851593018,0.7123477458953857,0.9976517558097839,0.8835341334342957,0.8500844538211823,0.7692307829856873,0.78125,0.7751938054341119,0.9146959185600281,0.6900408864021301,249.0,0.7214849591255188,0.7254489064216614,1.0865756273269653,0.7971014380455017,0.7899888157844543,0.7864768505096436,0.7342192530632019,0.7594501549336399,0.8774095177650452,0.8354382514953613,690.0,0.6514037251472473,0.5585280656814575,0.9056800603866577,0.7575757503509521,0.5285714343190193,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.7785714268684387,0.3799999952316284,33.0,0.8373566269874573,0.8381280899047852,0.8438453078269958,0.8639705777168274,0.864075630903244,0.8189415335655212,0.8647058606147766,0.8412017219552392,0.9397059082984924,0.8924891948699951,816.0,0.7512248645790423
9,0.03906384950398274,0.04025911935605109,17.95635237800002,1.7147713610000324,7.222655546000084,2.875881511999978,0.32563386400002514,11.265785268000059,0.5681224489999863,0.27349189699998533,0.000294770328951685,0.0631135013849396,0.023086463054603833,0.20150550900790595,False,,9124,27136,0,0.6767221279999944,42.0,63.0,7.777777777777778,13.0,18.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125,0.7729153037071228,0.7743961215019226,0.9951614141464233,0.8337675929069519,0.8271214365959167,0.7893368005752563,0.7945026159286499,0.7919112838978213,0.9108690619468689,0.8388972282409668,1919.0,0.6569262742996216,0.6823122501373291,1.3558626174926758,0.7786259651184082,0.761904776096344,0.7659574747085571,0.6666666865348816,0.7128713105709082,0.8670034408569336,0.7573227286338806,131.0,0.6238958239555359,0.7284643054008484,0.9725795984268188,0.8875501751899719,0.8578969538211823,0.7727272510528564,0.796875,0.7846153734421587,0.9244087934494019,0.7286393642425537,249.0,0.7264063358306885,0.729367733001709,1.0879034996032715,0.7985507249832153,0.7920257449150085,0.7852112650871277,0.7408638000488281,0.762393167916378,0.8796557188034058,0.8470473289489746,690.0,0.7276069521903992,0.6211554408073425,0.841015100479126,0.7575757503509521,0.5285714343190193,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.7857142090797424,0.36715686321258545,33.0,0.8399215936660767,0.8398464322090149,0.8460819125175476,0.8590686321258545,0.8607142865657806,0.8065395355224609,0.8705882430076599,0.8373408945168249,0.9407810568809509,0.8929240703582764,816.0,0.756651810148596
10,0.03864930629870802,0.03918685903772712,17.903887671999996,1.7650711689999241,7.1662339829998984,2.866531819999949,0.3325536140000622,11.160087020999896,0.5606552439999746,0.23411236000001168,0.00029185850380611237,0.08681666353251688,0.03146550460395328,0.2547256434274341,False,,10133,27136,0,0.42591293600000313,35.94117647058823,52.0,5.823529411764706,12.0,17.0,9511759360.0,25253904384.0,8.858516216278076,23.51953125,0.7752273678779602,0.7789870500564575,0.9750688076019287,0.8410630822181702,0.8407147228717804,0.7788578271865845,0.8390052318572998,0.8078134774506004,0.9117052555084229,0.8343479633331299,1919.0,0.6557785868644714,0.6950461268424988,1.2995115518569946,0.8091602921485901,0.7989417910575867,0.7843137383460999,0.7407407164573669,0.7619047551252399,0.8612313866615295,0.7500600814819336,131.0,0.6136711835861206,0.7380759716033936,0.9791523814201355,0.8755019903182983,0.8548986613750458,0.7323943376541138,0.8125,0.7703703545804538,0.9229729175567627,0.7179378867149353,249.0,0.7297592759132385,0.7339467406272888,1.0495991706848145,0.8086956739425659,0.80929034948349,0.763239860534668,0.8139534592628479,0.7877813289359394,0.8809794187545776,0.857779324054718,690.0,0.7356283664703369,0.6389437913894653,0.840936541557312,0.8181818127632141,0.7285714447498322,0.4285714328289032,0.6000000238418579,0.5000000111758708,0.7928571701049805,0.38066381216049194,33.0,0.8397860527038574,0.8395931124687195,0.8438618183135986,0.8639705777168274,0.8670168220996857,0.8069705367088318,0.8852941393852234,0.844319800439031,0.9416708946228027,0.8918544054031372,816.0,0.7565326602773284
