epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib
1,0.09034770094561127,0.0633512050844729,17.171210596,1.5420771090000347,7.709762012000018,2.44450280999998,0.34634945700000586,11.256721704000004,0.5296460530000004,0.22646137199999927,0.001,0.08090847264321106,0.029260288565740252,0.08392791871488052,False,,1052,27136,0,0.9159639119999987,41.4375,59.0,7.4375,14.0,16.0,9511746048.0,25253904384.0,8.858503818511963,23.51953125
2,0.05768310176735779,0.04479708895087242,15.843309320000003,1.7430316929999918,6.438334517000065,2.352910506999983,0.3121610550000149,9.847912212000065,0.5172819710000027,0.22722416199999884,0.001,0.06612203234526913,0.031075296535928946,0.12987579725930334,False,,2061,27136,0,0.11216852799999799,44.333333333333336,66.0,7.666666666666667,16.0,15.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125
3,0.04445279277158233,0.03914557257667184,15.989724299999999,1.727627575000028,6.567647147999978,2.348983205999957,0.3205777330000146,9.990348049999952,0.5250438270000046,0.22809613599999778,0.001,0.06137919613858909,0.0294780038724936,0.13620410751496875,False,,3070,27136,0,0.12200519599999637,40.5,64.0,7.625,15.0,16.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125
4,0.04025335699530705,0.05113027570769191,15.441213638,1.8347419050000084,6.210167764999994,2.204919662000002,0.2871612240000161,9.41471432300002,0.49720325100000196,0.2152624210000056,0.001,0.04586413212340593,0.022655708585346646,0.11902760280839017,False,,4079,27136,0,0.11497052699999699,44.06666666666667,71.0,7.6,15.0,15.0,9511746048.0,25253904384.0,8.858503818511963,23.51953125
5,0.037893275835744616,0.037588742794469,15.926503611000001,1.8354812199999202,6.47044680800002,2.309431819000011,0.30770256600000323,9.81492065300003,0.5127289499999961,0.21461050999999998,0.001,0.050652193200006565,0.024532688422246225,0.1291333486490266,False,,5088,27136,0,0.11846969399999807,45.4,68.0,8.2,14.0,15.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125
6,0.03295889495046071,0.0334685118868947,15.783525974,1.8048756060000244,6.379556283999989,2.267911431000016,0.30488878200002034,9.700278599000015,0.5253117229999873,0.22261037900000247,0.001,0.04402507076276786,0.0216036715187872,0.11585638331474732,False,,6097,27136,0,0.11406368599999439,46.1875,75.0,8.5625,17.0,16.0,9511759360.0,25253904384.0,8.858516216278076,23.51953125
7,0.02964796665353033,0.03384158737026155,15.859492883000001,1.845289873000013,6.443443835999929,2.305519645999979,0.3088433270000337,9.797645681999938,0.5289964250000025,0.21084244799999396,0.001,0.03725256601881458,0.017161789127871335,0.10727028737378143,False,,7106,27136,0,0.12249688599999331,46.53333333333333,71.0,9.066666666666666,16.0,15.0,9511759360.0,25253904384.0,8.858516216278076,23.51953125
8,0.027723826714000612,0.03150971746072173,15.555501894999992,1.6641465839998517,6.410831035000129,2.290218727000152,0.30698439399994015,9.679979876000218,0.48359362700000474,0.18835209299999178,0.001,0.03299527109356347,0.015411172338108776,0.09392459251584398,False,,8115,27136,0,0.1079667019999988,44.733333333333334,54.0,8.666666666666666,15.0,15.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125
9,0.02758628966392211,0.03226298769004643,15.795246939999998,1.8733897230000878,6.381449037999914,2.2567597499999863,0.31194254500002216,9.701873989999939,0.537367568999997,0.21435508800001912,0.001,0.041623046660792196,0.01970796084653639,0.11894464720969779,False,,9124,27136,0,0.1233111269999938,42.13333333333333,74.0,7.933333333333334,16.0,15.0,9511746560.0,25253904384.0,8.858504295349121,23.51953125
10,0.026291580536877208,0.03234426164999604,16.31605369899998,1.9916935000001956,6.602052879000041,2.3584994720000054,0.3216976090000969,10.068937459000153,0.5489283679999915,0.23775913100001844,0.001,0.03696886241774443,0.01807551125390556,0.10386001334350142,False,,10133,27136,0,0.12181457300002307,39.333333333333336,60.0,6.8,13.0,15.0,9511759360.0,25253904384.0,8.858516216278076,23.51953125
