epoch,train_loss,val_loss,epoch_wall_s,train_data_wait_s,train_forward_loss_s,train_backward_s,train_optimizer_s,gpu_busy_wall_s,val_wall_s,probe_eval_wall_s,current_lr,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,diverged,divergence_reason,synthetic_seed,observed_train_examples,skipped_train_batches,summary_write_wall_s,gpu_util_mean_pct,gpu_util_peak_pct,gpu_mem_util_mean_pct,gpu_mem_util_peak_pct,gpu_sample_count,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_peak_allocated_gib,gpu_peak_reserved_gib
1,0.09595437050658337,0.07709326163555184,823.8367233629999,351.5238026010014,411.148794245001,10.018878978999155,1.1461732169992942,426.66616670299936,3.647668719999956,0.704651541999965,6.0800000000000184e-05,0.05885049178933423,0.008725338523896599,0.14963960374964516,False,,1053,120320,0,0.5519655929999772,10.145454545454545,100.0,4.711688311688311,64.0,770.0,40611126784.0,79201042432.0,37.8220591545105,73.76171875
2,0.041945172557012834,0.06215346067522963,818.599900265,351.2816030509998,405.9679960430004,10.328375237998557,1.1430478720008068,421.8322962589998,3.6773106929999813,0.7155664130000332,0.0001205999999999999,0.013493956761409708,0.0031129143057737002,0.1809304820059685,False,,2062,120320,0,0.12318396399996345,9.85378590078329,100.0,4.554830287206267,64.0,766.0,40611125760.0,79201042432.0,37.82205820083618,73.76171875
3,0.02901782566245566,0.050386447738856074,824.9820486639999,354.03928947300074,409.67439385600096,10.416210517000309,1.145052205999491,425.6331958250005,3.669993293999596,0.7275459520001277,0.00018039999999999997,0.011009419360327496,0.003859114336560157,0.1522560299506793,False,,3071,120320,0,0.12581454200017106,10.085603112840467,100.0,4.667963683527886,58.0,771.0,44159092736.0,79201042432.0,41.126359939575195,73.76171875
4,0.022949478642499826,0.04657881514479716,833.2068975540001,357.869649725998,412.494295958998,10.571300437997252,1.1531258050031283,429.6836326769985,4.537752645000182,0.9271578299999419,0.0002402000000000007,0.010323225490533303,0.003240373223497953,0.12558668055953792,False,,4080,120320,0,0.16619592400002148,9.466666666666667,93.0,4.552564102564102,57.0,780.0,44159091200.0,55127834624.0,41.12635850906372,51.341796875
5,0.020119410993016146,0.047331615692625444,929.7165083050004,433.0986259650035,432.31234243000335,11.65638054399642,1.3531613670033948,450.1353682730032,3.9893402360003165,0.8241436959997372,0.0002999999999999999,0.010590925360746373,0.0025712843301302197,0.10878359708195268,False,,5089,120320,0,0.14125667400003294,9.134104046242774,99.0,4.295953757225433,59.0,865.0,31730289664.0,55127834624.0,29.551135063171387,51.341796875
6,0.018070185529266265,0.04253091573094328,974.66317007,436.0707322620028,474.7137156169929,11.551024500995482,1.3526834929944016,492.1055865469825,3.7377184699998907,0.7504444659998626,0.0002996711467850891,0.009791295468031105,0.0020173918511430314,0.09463037681357415,False,,6098,120320,0,0.12391252099951089,6.527192008879023,93.0,3.044395116537181,57.0,901.0,35637341184.0,55127834624.0,33.189860343933105,51.341796875
7,0.016127876315186633,0.04047933298473557,851.6705774329994,390.5982686849957,398.78636829699553,10.679948453003817,1.2339412649953374,415.0940689739946,3.667398835000313,0.7264121239995802,0.0002986861892801376,0.00915229593654109,0.0016136543474660143,0.08040225460656848,False,,7107,120320,0,0.12484448299983342,10.238636363636363,100.0,4.888888888888889,59.0,792.0,25693772800.0,55127834624.0,23.929190635681152,51.341796875
8,0.014952224566343616,0.04280045869139334,790.38253111,357.48447324303106,371.46130590699704,10.553781318005349,1.1392332209989036,387.5550623060017,3.674949850000303,0.7257920100000774,0.00029704992609910026,0.00931503522021109,0.0015567824930582533,0.07736662867330818,False,,8116,120320,0,0.13000083699989773,12.704359673024523,99.0,6.192098092643052,59.0,734.0,35637341696.0,55127834624.0,33.189860820770264,51.341796875
9,0.01437133775548415,0.04027265931169192,790.308755909,357.42587403899324,370.74957859500955,10.78405551499327,1.143041651992462,387.0876680389965,3.6825448240006153,0.7284474530006264,0.00029477032895172195,0.008958629526650285,0.0011546478376596836,0.07138089654101283,False,,9125,120320,0,0.13358307700036676,12.731972789115646,100.0,6.187755102040816,70.0,735.0,40607981056.0,55127834624.0,37.8191294670105,51.341796875
10,0.013455743189068867,0.03646552531669537,821.6471404139993,356.8461076529884,403.66185762100577,10.334836604000884,1.1429326620027496,419.5628777790089,3.696182972000315,0.7270679199991719,0.00029185850380615856,0.008720852493542583,0.0011032742810584701,0.06811155999731452,False,,10134,120320,0,0.12817100800020853,11.08984375,100.0,5.1875,59.0,768.0,44159092736.0,55127834624.0,41.126359939575195,51.341796875
