scope,modality,state,species,count,fraction_of_total_rows,fraction_within_scope
overall,all,resolved,all,212992,0.9524686858568739,0.9524686858568739
overall,all,missing,all,10629,0.04753131414312609,0.04753131414312609
overall_species,all,resolved,human,204203,0.9131655792613395,0.9587355393629807
overall_species,all,resolved,murine,6397,0.02860643678366522,0.030033991887019232
overall_species,all,resolved,nhp,1836,0.008210320139879528,0.008620042067307692
overall_species,all,resolved,other,556,0.002486349671989661,0.0026104266826923075
overall_species,all,missing,human,9369,0.041896780713797,0.8814563928873835
overall_species,all,missing,murine,449,0.0020078615156894925,0.042242920312352994
overall_species,all,missing,nhp,0,0.0,0.0
overall_species,all,missing,other,811,0.0036266719136395956,0.07630068680026343
modality,binding,resolved,all,39953,0.17866390008094052,0.998825
modality,binding,missing,all,47,0.00021017704061783107,0.001175
modality_species,binding,resolved,human,35803,0.16010571457957884,0.8961279503416515
modality_species,binding,resolved,murine,2052,0.009176240156335943,0.05136034840938102
modality_species,binding,resolved,nhp,1835,0.008205848287951489,0.045928966535679426
modality_species,binding,resolved,other,263,0.0011760970570742462,0.006582734713288113
modality_species,binding,missing,human,42,0.00018781778097763627,0.8936170212765957
modality_species,binding,missing,murine,0,0.0,0.0
modality_species,binding,missing,nhp,0,0.0,0.0
modality_species,binding,missing,other,5,2.2359259640194795e-05,0.10638297872340426
modality,elution,resolved,all,163182,0.7297257413212533,0.9395933737541241
modality,elution,missing,all,10491,0.04691419857705672,0.06040662624587587
modality_species,elution,resolved,human,158681,0.70959793579315,0.9724173009277984
modality_species,elution,resolved,murine,4255,0.01902772995380577,0.026075179860523833
modality_species,elution,resolved,nhp,1,4.471851928038959e-06,6.128126876738856e-06
modality_species,elution,resolved,other,245,0.001095603722369545,0.0015013910848010196
modality_species,elution,missing,human,9281,0.04150325774412958,0.8846630445143456
modality_species,elution,missing,murine,435,0.001945255588696947,0.041464112096082355
modality_species,elution,missing,nhp,0,0.0,0.0
modality_species,elution,missing,other,775,0.003465685244230193,0.07387284338957202
modality,kinetics,resolved,all,47,0.00021017704061783107,1.0
modality,kinetics,missing,all,0,0.0,0.0
modality_species,kinetics,resolved,human,2,8.943703856077918e-06,0.0425531914893617
modality_species,kinetics,resolved,murine,45,0.00020123333676175316,0.9574468085106383
modality_species,kinetics,resolved,nhp,0,0.0,0.0
modality_species,kinetics,resolved,other,0,0.0,0.0
modality_species,kinetics,missing,human,0,0.0,0.0
modality_species,kinetics,missing,murine,0,0.0,0.0
modality_species,kinetics,missing,nhp,0,0.0,0.0
modality_species,kinetics,missing,other,0,0.0,0.0
modality,stability,resolved,all,9810,0.043868867414062186,0.9908090091909908
modality,stability,missing,all,91,0.00040693852545154526,0.00919099080900919
modality_species,stability,resolved,human,9717,0.043452985184754565,0.9905198776758409
modality_species,stability,resolved,murine,45,0.00020123333676175316,0.0045871559633027525
modality_species,stability,resolved,nhp,0,0.0,0.0
modality_species,stability,resolved,other,48,0.00021464889254587,0.004892966360856269
modality_species,stability,missing,human,46,0.0002057051886897921,0.5054945054945055
modality_species,stability,missing,murine,14,6.260592699254543e-05,0.15384615384615385
modality_species,stability,missing,nhp,0,0.0,0.0
modality_species,stability,missing,other,31,0.00013862740976920771,0.34065934065934067
