split,seed,scope,metric,legacy,masked,delta_masked_minus_legacy
val,42,overall,all_spearman,0.775312964956727,0.7761545081875659,0.0008415432308389592
val,42,overall,all_pearson,0.7726135331518725,0.7739863213868294,0.001372788234956901
val,42,overall,all_rmse,0.9474976951966257,0.9477768204675233,0.00027912527089757333
val,42,overall,exact_spearman,0.7391925444238886,0.7376578469825419,-0.0015346974413467107
val,42,overall,exact_pearson,0.7272627512586319,0.7273113845271221,4.863326849013916e-05
val,42,overall,exact_rmse,1.0013224922783743,1.0000355500582414,-0.001286942220132925
val,42,overall,threshold_500nm_accuracy,0.8439671509791535,0.83575489576753,-0.008212255211623498
val,42,overall,threshold_500nm_balanced_accuracy,0.843386945969603,0.8423160194689796,-0.0010709265006233482
val,42,overall,threshold_500nm_precision,0.7873900293255132,0.7557354925775979,-0.031654536747915296
val,42,overall,threshold_500nm_recall,0.8403755868544601,0.8763693270735524,0.035993740219092296
val,42,overall,threshold_500nm_f1,0.8130204390613172,0.8115942028985507,-0.0014262361627664921
val,42,overall,threshold_500nm_auroc,0.9065409405586059,0.9043758786239092,-0.002165061934696677
val,42,overall,threshold_500nm_auprc,0.844973439951839,0.8397266137394368,-0.005246826212402245
val,42,single,all_spearman,0.7747444044434032,0.7726579446465122,-0.002086459796891038
val,42,single,all_pearson,0.7819687000506927,0.7797026527840638,-0.0022660472666289344
val,42,single,all_rmse,0.861646006582912,0.8697687189536406,0.008122712370728591
val,42,single,exact_spearman,0.7660113091462236,0.7647354251098316,-0.0012758840363920054
val,42,single,exact_pearson,0.7645733809054632,0.7640823963096613,-0.0004909845958018799
val,42,single,exact_rmse,0.8757324868254905,0.8763160661118429,0.0005835792863523315
val,42,single,threshold_500nm_accuracy,0.8669410150891632,0.8422496570644719,-0.024691358024691357
val,42,single,threshold_500nm_balanced_accuracy,0.8605061349693252,0.8495270961145194,-0.010979038854805778
val,42,single,threshold_500nm_precision,0.7739463601532567,0.7133105802047781,-0.060635779948478574
val,42,single,threshold_500nm_recall,0.8416666666666667,0.8708333333333333,0.029166666666666674
val,42,single,threshold_500nm_f1,0.8063872255489023,0.7842401500938087,-0.022147075455093646
val,42,single,threshold_500nm_auroc,0.9146387184730743,0.9088701431492843,-0.005768575323790048
val,42,single,threshold_500nm_auprc,0.8384316442190151,0.8290668076881279,-0.009364836530887155
