step,split,metric,value
1,train,loss,1.7773309632883234
1,train,lr,0.00027828152422874257
1,train,loss_binding,2.603359440625724
1,train,loss_binding_affinity_probe,4.410564223588524
1,train,loss_binding_assay_panel,1.404759263083086
1,train,loss_binding_ec50,1.5941441164185461
1,train,loss_binding_ic50,2.6099356220940413
1,train,loss_binding_kd,2.9332422043307353
1,train,loss_consistency_binding_orthogonality,0.00017519692322574715
1,train,loss_elution,0.010741729320634004
1,train,loss_elution_mil_sparsity,0.00948169692498395
1,train,loss_excision_condition_panel,0.0499953522879053
1,train,loss_foreignness,0.640085499670546
1,train,loss_koff,1.7927364110946655
1,train,loss_mhc_a_fine_type,0.5512701720946421
1,train,loss_mhc_b_fine_type,0.5473955685146532
1,train,loss_mhc_class,0.20133630035663866
1,train,loss_mhc_species,0.7624304589768083
1,train,loss_ms,0.010741729320634004
1,train,loss_ms_mil_sparsity,0.00948169692498395
1,train,loss_presentation,0.03595594042503685
1,train,loss_presentation_mil_contrastive,0.03246116066293325
1,train,loss_presentation_mil_sparsity,0.009313234581880398
1,train,loss_species_of_origin,1.0234291644419653
1,train,loss_t_half,5.587396355520966
1,train,loss_tm,1.0400075964838227
1,train,batch_binding_max_allele_fraction,1.0
1,train,batch_binding_samples,113.71186440677967
1,train,batch_binding_unique_alleles,1.0
1,train,batch_binding_unique_mhc_classes,1.0
1,train,batch_binding_unique_species,1.0
1,train,batch_max_allele_fraction,0.8833696739642184
1,train,batch_max_mhc_class_fraction,1.0
1,train,batch_max_species_fraction,1.0
1,train,batch_supervised_weight_binding,0.07641948442682957
1,train,batch_supervised_weight_binding_affinity_probe,0.07641948442682957
1,train,batch_supervised_weight_binding_assay_panel,0.07641948442682957
1,train,batch_supervised_weight_binding_ec50,0.07412301916344216
1,train,batch_supervised_weight_binding_ic50,0.07641948442682957
1,train,batch_supervised_weight_binding_kd,0.07641948442682957
1,train,batch_supervised_weight_elution,0.07641948442682957
1,train,batch_supervised_weight_excision_condition_panel,0.07641948442682957
1,train,batch_supervised_weight_foreignness,0.07641948442682957
1,train,batch_supervised_weight_koff,0.06944444444444445
1,train,batch_supervised_weight_mhc_a_fine_type,0.007641948442682949
1,train,batch_supervised_weight_mhc_b_fine_type,0.007641948442682949
1,train,batch_supervised_weight_mhc_class,0.007641948442682949
1,train,batch_supervised_weight_mhc_species,0.007641948442682949
1,train,batch_supervised_weight_ms,0.07641948442682957
1,train,batch_supervised_weight_presentation,0.07641948442682957
1,train,batch_supervised_weight_species_of_origin,0.07641948442682957
1,train,batch_supervised_weight_t_half,0.07632290482154082
1,train,batch_supervised_weight_tm,0.07203565505804312
1,train,batch_support_binding,113.71186440677967
1,train,batch_support_binding_affinity_probe,113.71186440677967
1,train,batch_support_binding_ec50,1.5694444444444444
1,train,batch_support_binding_ic50,52.50847457627118
1,train,batch_support_binding_kd,7.813559322033898
1,train,batch_support_foreignness,239.6864406779661
1,train,batch_support_koff,1.0
1,train,batch_support_mhc_a_fine_type,255.73728813559322
1,train,batch_support_mhc_b_fine_type,255.73728813559322
1,train,batch_support_mhc_class,255.73728813559322
1,train,batch_support_mhc_species,255.73728813559322
1,train,batch_support_species_of_origin,239.6864406779661
1,train,batch_support_t_half,6.6752136752136755
1,train,batch_support_tm,1.0
1,train,batch_unique_alleles,2.0
1,train,batch_unique_mhc_classes,1.0
1,train,batch_unique_species,1.0
1,train,out_apc_cell_type_context_vec_mean,-0.0092208895563953
1,train,out_apc_cell_type_context_vec_var,0.009810547494345297
1,train,out_assays_EC50_nM_mean,3.50219957101143
1,train,out_assays_EC50_nM_var,0.045758480046554154
1,train,out_assays_IC50_nM_mean,2.6058111332230647
1,train,out_assays_IC50_nM_var,0.020344259849680694
1,train,out_assays_KD_nM_mean,2.748745948581372
1,train,out_assays_KD_nM_var,0.03563324818723062
1,train,out_assays_KD_proxy_ec50_nM_mean,2.748745948581372
1,train,out_assays_KD_proxy_ec50_nM_var,0.03563324818723062
1,train,out_assays_KD_proxy_ic50_nM_mean,2.748745948581372
1,train,out_assays_KD_proxy_ic50_nM_var,0.03563324818723062
1,train,out_assays_Tm_mean,0.06011588475272312
1,train,out_assays_Tm_var,0.0004602966298804504
1,train,out_assays_koff_mean,-1.8647196042840763
1,train,out_assays_koff_var,0.21383107320699787
1,train,out_assays_kon_mean,0.8401020208207922
1,train,out_assays_kon_var,0.004393573494487979
1,train,out_assays_t_half_mean,-0.0299123965077481
1,train,out_assays_t_half_var,0.21398683768720883
1,train,out_binding_affinity_probe_kd_mean,1.954293951186967
1,train,out_binding_affinity_probe_kd_raw_mean,1.9432542742529915
1,train,out_binding_affinity_probe_kd_raw_var,0.04378860204251087
1,train,out_binding_affinity_probe_kd_var,0.04261074414673696
1,train,out_binding_affinity_score_mean,1.954293951186967
1,train,out_binding_affinity_score_raw_mean,1.9432542742529915
1,train,out_binding_affinity_score_raw_var,0.04378860204251087
1,train,out_binding_affinity_score_var,0.04261074414673696
1,train,out_binding_assay_context_vec_mean,0.0
1,train,out_binding_assay_context_vec_var,0.0
1,train,out_binding_assay_panel_assay_geometry_mean,1.9462049111560622
1,train,out_binding_assay_panel_assay_geometry_var,0.03428599511022123
1,train,out_binding_assay_panel_assay_prep_mean,1.941741558092733
1,train,out_binding_assay_panel_assay_prep_var,0.034270484122224214
1,train,out_binding_assay_panel_assay_readout_mean,1.9427015666906147
1,train,out_binding_assay_panel_assay_readout_var,0.034515163636523676
1,train,out_binding_assay_panel_assay_type_mean,1.939511405063351
1,train,out_binding_assay_panel_assay_type_var,0.03439830358717191
