split,policy,seed,scope,n_all,all_rmse,all_mae,all_n,all_spearman,all_pearson,n_exact,exact_rmse,exact_mae,exact_n,exact_spearman,exact_pearson,n_threshold_500nm,threshold_500nm_accuracy,threshold_500nm_balanced_accuracy,threshold_500nm_precision,threshold_500nm_recall,threshold_500nm_f1,threshold_500nm_auroc,threshold_500nm_auprc
val,legacy_global_canonical,42,overall,1727,0.8993258355318824,0.6987072569870869,1727.0,0.8069542070634517,0.8217769886112943,1388,0.9447523400568445,0.7487131548087281,1388.0,0.7937154127737764,0.7851675701154086,1727,0.8720324261725536,0.8721331823466851,0.8302631578947368,0.8727524204702628,0.8509777478084963,0.9355585954935445,0.9027911204527826
val,legacy_global_canonical,42,single,790,0.8861449617589352,0.7069135474206149,790.0,0.7842325418032562,0.8169836466303817,713,0.8775201597597222,0.6973137934058695,713.0,0.7997175795939474,0.8118211538668899,790,0.8721518987341772,0.8651525779185354,0.7986111111111112,0.8424908424908425,0.8199643493761141,0.939900525006908,0.8941191676219601
val,legacy_global_canonical,42,flanks_agree,236,0.9989869545005375,0.7769918263084807,236.0,0.7684195624502499,0.7885104573348438,191,1.0807426829237803,0.8540609710659656,191.0,0.6186234980797398,0.6416077761983728,236,0.8432203389830508,0.8362016908212561,0.8741258741258742,0.8680555555555556,0.8710801393728222,0.8888134057971014,0.8983219348715785
val,legacy_global_canonical,42,within_gene_canonical,17,1.0173189225587067,0.8114429607110865,17.0,0.8002511974326121,0.8058656446121285,12,0.8442928273440063,0.6684803515672684,12.0,0.7195867919687047,0.6849387055557026,17,0.7647058823529411,0.7638888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.9297008547008547
val,legacy_global_canonical,42,cross_gene_unresolved,65,1.090236744167675,0.8728786706637878,65.0,0.780394108158643,0.8052941248806121,46,1.151383908472642,0.9371831598084258,46.0,0.6692522111035185,0.6996202468750625,65,0.9076923076923077,0.9119047619047619,0.8529411764705882,0.9666666666666667,0.90625,0.9628571428571429,0.9577183785516054
val,legacy_global_canonical,42,within_gene_unresolved,2,1.6035759492001789,1.6035747230052948,2.0,,,2,1.6035759492001789,1.6035747230052948,2.0,,,2,1.0,0.5,1.0,1.0,1.0,,
val,legacy_global_canonical,42,unresolved_union,67,1.1090062913928183,0.8946904931217432,67.0,0.7954693802150679,0.8171644371975086,48,1.1737086633245992,0.9649494749416286,48.0,0.6978476516363967,0.7178335011059004,67,0.9104477611940298,0.9129464285714286,0.8611111111111112,0.96875,0.911764705882353,0.9651785714285714,0.9628658958425693
val,legacy_global_canonical,42,unmapped,617,0.8453383491920576,0.6338685023895732,617.0,0.8117482231540014,0.8383189335784518,424,0.961600133963167,0.7654814615248228,424.0,0.7417767923152724,0.7634518034958129,617,0.8816855753646677,0.8837156946826759,0.8380281690140845,0.8981132075471698,0.8670309653916212,0.942184819897084,0.9088078001168596
test,legacy_global_canonical,42,overall,1712,0.962835043913384,0.7312758545696988,1712.0,0.7792146250678386,0.7885546053898375,1400,0.9993819198086692,0.7752143596199208,1400.0,0.7607082882026801,0.7534403968446388,1712,0.8603971962616822,0.8584973472771509,0.8228882833787466,0.847124824684432,0.8348306841741534,0.9198391940327424,0.8730745725511524
test,legacy_global_canonical,42,single,754,0.8648802961971244,0.6773325156430351,754.0,0.7644985067129948,0.7973249333675971,676,0.8696736165004844,0.6759758826852198,676.0,0.7632284094278114,0.7846145960828393,754,0.870026525198939,0.8523108888405693,0.7959183673469388,0.8024691358024691,0.7991803278688524,0.9211583838676685,0.8476452474446029
