split,policy,seed,scope,n_all,all_rmse,all_mae,all_n,all_spearman,all_pearson,n_exact,exact_rmse,exact_mae,exact_n,exact_spearman,exact_pearson,n_threshold_500nm,threshold_500nm_accuracy,threshold_500nm_balanced_accuracy,threshold_500nm_precision,threshold_500nm_recall,threshold_500nm_f1,threshold_500nm_auroc,threshold_500nm_auprc
val,legacy_global_canonical,42,overall,1727,0.9270606913497268,0.7143042750454917,1727.0,0.8056332451109803,0.8177883144962327,1388,0.9636824119285976,0.7618727670581233,1388.0,0.7932119479173639,0.7817864763845475,1727,0.8581354950781702,0.8663747499628044,0.7818396226415094,0.91701244813278,0.8440483768300444,0.9363121511188992,0.9044620747771243
val,legacy_global_canonical,42,single,790,0.9433043895523362,0.7487442179807002,790.0,0.7748290803230233,0.8000492594554732,713,0.9210252528743217,0.7323657995113401,713.0,0.7919970234989165,0.7967131393812681,790,0.8518987341772152,0.8695595184956888,0.7228571428571429,0.9267399267399268,0.8121990369181381,0.9386393748095876,0.8927969345686924
val,legacy_global_canonical,42,flanks_agree,236,0.987730812917351,0.764933610007451,236.0,0.7663026490181795,0.7950979202510207,191,1.0633184507907039,0.836362373946888,191.0,0.6130709943213316,0.6382142043684668,236,0.8389830508474576,0.8268417874396135,0.8581081081081081,0.8819444444444444,0.8698630136986302,0.886322463768116,0.8976208449132813
val,legacy_global_canonical,42,within_gene_canonical,17,1.0935004180942556,0.8404844736351686,17.0,0.7359342542077344,0.7910646330849863,12,0.8956736596747481,0.6532492563128471,12.0,0.5361627077413879,0.6513102907354372,17,0.7058823529411765,0.6944444444444444,0.6666666666666666,0.8888888888888888,0.761904761904762,0.8333333333333334,0.8453093203093203
val,legacy_global_canonical,42,cross_gene_unresolved,65,1.0331693243782902,0.8108199091484913,65.0,0.7804746722724938,0.8264205825610662,46,1.0728141917070015,0.8643095401804084,46.0,0.6659466050204778,0.7264272329587242,65,0.8923076923076924,0.8976190476190476,0.8285714285714286,0.9666666666666667,0.8923076923076922,0.9742857142857143,0.9703624703563605
val,legacy_global_canonical,42,within_gene_unresolved,2,1.5795136026239887,1.579512357711792,2.0,,,2,1.5795136026239887,1.579512357711792,2.0,,,2,1.0,0.5,1.0,1.0,1.0,,
val,legacy_global_canonical,42,unresolved_union,67,1.0535884089454903,0.8337659523891869,67.0,0.7953829834695819,0.8341056912385395,48,1.0986025192871358,0.8941096575775495,48.0,0.6945063349543787,0.7383028717483051,67,0.8955223880597015,0.8986607142857144,0.8378378378378378,0.96875,0.8985507246376812,0.9758928571428571,0.9740000879787349
val,legacy_global_canonical,42,unmapped,617,0.8600156927589541,0.6343932965562061,617.0,0.8134023112282202,0.8404720228633137,424,0.9721006685260878,0.7660403716079188,424.0,0.7462348152112476,0.768349701539251,617,0.873581847649919,0.879411449399657,0.8106312292358804,0.9207547169811321,0.8621908127208481,0.9432675814751287,0.9139734090864942
test,legacy_global_canonical,42,overall,1712,0.9823884508186843,0.7531852559164758,1712.0,0.7788333835385971,0.7857035473413689,1400,1.0116270933043376,0.7976776724122465,1400.0,0.7561905149782071,0.7477424529526218,1712,0.8376168224299065,0.8437961102757736,0.7649208282582217,0.8807854137447405,0.81877444589309,0.9183763005642388,0.8687853989863005
test,legacy_global_canonical,42,single,754,0.9296144721760881,0.7409834813830549,754.0,0.7558227109076566,0.7794224510902447,676,0.9323943275153025,0.7416218948941788,676.0,0.7501650028972725,0.7624547365183728,754,0.8328912466843501,0.8389424432042392,0.6956521739130435,0.8559670781893004,0.7675276752767527,0.9158995916986784,0.8384518471739014
test,legacy_global_canonical,42,flanks_agree,274,1.1039227403283114,0.8713541750109544,274.0,0.7410819163814332,0.7777613084843426,227,1.108868678172044,0.8982171168477,227.0,0.6919332042400379,0.7201707439885549,274,0.8576642335766423,0.8492140657916059,0.8392857142857143,0.9215686274509803,0.8785046728971961,0.9042024523307945,0.8862183625320144
test,legacy_global_canonical,42,within_gene_canonical,20,1.1791515051566646,0.8577830746769906,20.0,0.7296270204473301,0.7405364978345421,14,1.0619488713584948,0.8308822023017066,14.0,0.6892694969155052,0.6792139573518203,20,0.8,0.8,0.75,0.9,0.8181818181818182,0.88,0.8860245310245312
test,legacy_global_canonical,42,cross_gene_unresolved,36,0.9439191629826333,0.7093362352914281,36.0,0.7218946801620552,0.7224340592239534,28,0.7282308579311059,0.5988339111208916,28.0,0.7784763260648495,0.7529394549106755,36,0.75,0.75625,0.8235294117647058,0.7,0.7567567567567567,0.896875,0.9003378750685759
test,legacy_global_canonical,42,within_gene_unresolved,1,0.1547832489013672,0.1547832489013672,1.0,,,0,,,,,,1,1.0,0.5,0.0,0.0,0.0,,
test,legacy_global_canonical,42,unresolved_union,37,0.9314237831172772,0.6943483167403454,37.0,0.7253785966722787,0.733301541456257,28,0.7282308579311059,0.5988339111208916,28.0,0.7784763260648495,0.7529394549106755,37,0.7567567567567568,0.7617647058823529,0.8235294117647058,0.7,0.7567567567567567,0.9029411764705882,0.9003378750685759
test,legacy_global_canonical,42,unmapped,627,0.9837749602891981,0.71635409888397,627.0,0.7739807058943973,0.7893326278994596,455,1.0846624899205164,0.842016163869546,455.0,0.649562046869538,0.6876086965110787,627,0.8405103668261563,0.8445224431235909,0.7876923076923077,0.89198606271777,0.8366013071895425,0.9208136913301906,0.8864530445415951
val,legacy_global_canonical,43,overall,1698,0.9217605584536406,0.6751656031698972,1698.0,0.7855574810430871,0.7996316662572188,1391,0.9705020618098381,0.7345039200875975,1391.0,0.7681405200089871,0.7648186578808822,1698,0.8698468786808009,0.8679912776846945,0.832409972299169,0.8573466476462197,0.8446943078004215,0.9280766693804666,0.8840121003877631
val,legacy_global_canonical,43,single,737,0.820327337835539,0.6276960784324231,737.0,0.8022438326238072,0.8120771572592237,675,0.8396127500661301,0.6408168005667351,675.0,0.7891407205554154,0.7965776696028045,737,0.8656716417910447,0.8496919917864476,0.8032128514056225,0.8,0.8016032064128257,0.9290718685831623,0.8733025466624811
val,legacy_global_canonical,43,flanks_agree,272,1.1640092634765693,0.881493799676023,272.0,0.6940816066607053,0.7261036651570035,234,1.1825206429586383,0.9200351368954294,234.0,0.6237819999735781,0.6560912428977747,272,0.8455882352941176,0.8428051829961355,0.8875,0.8554216867469879,0.8711656441717791,0.8728688338258696,0.8918435967345781
val,legacy_global_canonical,43,within_gene_canonical,14,0.9678738230116987,0.7228859066963196,14.0,0.7605321507760532,0.7196570893824634,12,0.7516392971496673,0.5965246856212616,12.0,0.75177304964539,0.7225311564154825,14,0.7857142857142857,0.75,0.7272727272727273,1.0,0.8421052631578948,0.875,0.928409090909091
val,legacy_global_canonical,43,cross_gene_unresolved,65,0.5835719316906218,0.5035905888447395,65.0,0.8296701082425119,0.9356187870829118,36,0.6773635117536525,0.5611060816380713,36.0,0.8296173289580981,0.8745239629225522,65,0.9846153846153847,0.9886363636363636,0.9545454545454546,1.0,0.9767441860465117,0.9989177489177489,0.9978354978354977
val,legacy_global_canonical,43,within_gene_unresolved,8,1.1152477974686454,1.0221640979871154,8.0,0.6037034299432968,0.9686021135665352,7,1.191755810832819,1.1552136189171247,7.0,0.39821643528494194,0.29838289528462336,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
val,legacy_global_canonical,43,unresolved_union,73,0.6629776558021462,0.5604205624493834,73.0,0.8629588883924502,0.9460941954111336,43,0.7844349345683703,0.6578212621253591,43.0,0.8817550323512165,0.8907556196103954,73,0.9863013698630136,0.9888888888888889,0.9655172413793104,1.0,0.9824561403508771,0.9992063492063492,0.9987684729064039
val,legacy_global_canonical,43,unmapped,602,0.9409470887085097,0.6528600782613917,602.0,0.7568545525091556,0.7880609304115137,427,1.0534341713880067,0.7925311005314424,427.0,0.7068432001136732,0.7158297027325118,602,0.8737541528239202,0.876969634913592,0.8168498168498168,0.8955823293172691,0.8544061302681992,0.9323583284981285,0.8856712066689503
test,legacy_global_canonical,43,overall,1710,0.8862226769225489,0.6712060551632915,1710.0,0.8043501744818311,0.8172696614616985,1391,0.9491531563746215,0.7451491430990993,1391.0,0.7768809197137901,0.7730046016403956,1710,0.8590643274853801,0.8600986277873071,0.818297331639136,0.8679245283018868,0.842380640941792,0.9248220690116059,0.885539275805
test,legacy_global_canonical,43,single,749,0.8212667914325767,0.6553247364732786,749.0,0.8010847313008422,0.8321170048533857,678,0.8371056523894483,0.6652347251915738,678.0,0.8040395571110256,0.8179842354763122,749,0.8731642189586115,0.866090620892291,0.8136200716845878,0.8407407407407408,0.8269581056466303,0.9349609526018712,0.8997208911598364
test,legacy_global_canonical,43,flanks_agree,229,0.9567100647373684,0.7556710291702674,229.0,0.8030706832361472,0.806208316418696,192,1.0327891510858318,0.8465875556770092,192.0,0.6942004538837871,0.7113502822507379,229,0.8253275109170306,0.8162985588972431,0.8345323741007195,0.8721804511278195,0.8529411764705883,0.9039786967418546,0.9111202847295192
test,legacy_global_canonical,43,within_gene_canonical,20,0.6527365351033436,0.5923308610916138,20.0,0.6743211485986372,0.8591631484053491,14,0.7215072629978375,0.6531463350568499,14.0,0.23728949893812476,0.6411180187359434,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test,legacy_global_canonical,43,cross_gene_unresolved,31,0.8876374321750296,0.7328549950353561,31.0,0.8450115874175846,0.8718645138737487,28,0.9222387624638226,0.7633014044591359,28.0,0.7939614563220742,0.8220282621579508,31,0.9032258064516129,0.8940217391304348,0.9545454545454546,0.9130434782608695,0.9333333333333332,0.9456521739130435,0.979416626507756
test,legacy_global_canonical,43,within_gene_unresolved,10,0.8803675700306157,0.6928772389888763,10.0,0.8582534384177868,0.9311579826601087,6,1.1341187420579564,1.0942108531792958,6.0,0.47809144373375745,0.9044677673061046,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test,legacy_global_canonical,43,unresolved_union,41,0.8858697961444695,0.7231043228288976,41.0,0.8323588952879007,0.8928241013709656,34,0.9630227122461433,0.8216971895273995,34.0,0.7366815078037102,0.8083917467962146,41,0.926829268292683,0.9238505747126436,0.9642857142857143,0.9310344827586207,0.9473684210526316,0.9712643678160919,0.9873261867431717
test,legacy_global_canonical,43,unmapped,671,0.9357401558914533,0.6592869844604089,671.0,0.779275819184299,0.795239237995226,473,1.0629421475237575,0.8157436586601412,473.0,0.6666737154273247,0.6877686159675676,671,0.8464977645305514,0.8497455676628187,0.796969696969697,0.8795986622073578,0.8362480127186009,0.9114746286906175,0.8581581485379193
val,legacy_global_canonical,44,overall,1676,0.9033129640645734,0.6784418334151998,1676.0,0.8113519218552488,0.8232502288635177,1368,0.9602572126148557,0.7512862643176602,1368.0,0.7958203577013458,0.7910980467329747,1676,0.860381861575179,0.8607571601009547,0.8142664872139973,0.8630527817403709,0.837950138504155,0.9331723910896521,0.8888455975811741
val,legacy_global_canonical,44,single,759,0.860040067051435,0.6545474481559083,759.0,0.8149452067171226,0.8238377769502331,691,0.8785297861974438,0.6745289054560419,691.0,0.811332647073634,0.8116659532585372,759,0.8590250329380764,0.8552232481377403,0.7926421404682275,0.8404255319148937,0.8158347676419966,0.9328285531617527,0.8805582123581435
val,legacy_global_canonical,44,flanks_agree,215,0.9741613635983059,0.7833330588415265,215.0,0.8199383457221286,0.8583479868433467,182,1.0339644963548356,0.8526215083477507,182.0,0.746993657188621,0.800234021329437,215,0.9069767441860465,0.9063526834611172,0.9375,0.9090909090909091,0.923076923076923,0.9580138736765242,0.960655747043347
val,legacy_global_canonical,44,within_gene_canonical,27,1.067741203586506,0.8377974563174777,27.0,0.6008568319138128,0.7475354179058478,9,1.0944136974526835,0.9281211958991157,9.0,0.38333333333333336,0.2833521254535688,27,0.7407407407407407,0.6863636363636363,0.375,0.6,0.4615384615384615,0.8727272727272727,0.7658119658119659
val,legacy_global_canonical,44,cross_gene_unresolved,42,0.9625372796365677,0.8098463458674294,42.0,0.5505452268750107,0.7404008518789804,37,1.0106329883029137,0.8556693454046507,37.0,0.34847162873957593,0.5734346851439758,42,0.9047619047619048,0.875,0.9,0.9642857142857143,0.9310344827586207,0.8545918367346939,0.910661442972165
val,legacy_global_canonical,44,within_gene_unresolved,7,0.8138806565456749,0.7042537523167474,7.0,0.6791563658482759,0.8949156812093473,6,0.878184314922776,0.805328461031119,6.0,0.47809144373375745,0.48176466658296346,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
