split,scope,metric,mean_delta_masked_minus_legacy,std_delta,min_delta,max_delta,n_seeds
val,overall,all_spearman,-0.0006366698806978451,0.007355002346459725,-0.00622674230685627,0.007695457375443193,3
val,overall,all_pearson,9.466939823765674e-05,0.005700047171603021,-0.0049936666441684485,0.00625438232970843,3
val,overall,all_rmse,-0.0023015187201184486,0.01526366468447146,-0.014276962369450419,0.014885355824786561,3
val,overall,exact_spearman,-4.733411771869663e-05,0.008267015736451251,-0.0060743578496865736,0.009377089375128822,3
val,overall,exact_pearson,0.00031035312370997215,0.005300332786723242,-0.003100609172034585,0.0064166898489410595,3
val,overall,exact_rmse,-0.0025947071076709203,0.007252530611285221,-0.010175445663831328,0.004277626231683596,3
val,overall,threshold_500nm_accuracy,0.002422594274342734,0.007179621659025186,-0.004053271569195105,0.010143198090692085,3
val,overall,threshold_500nm_balanced_accuracy,0.0019642966378428106,0.007122215345778805,-0.006002270310183855,0.007715717473206762,3
val,overall,threshold_500nm_precision,0.004961093147275737,0.01755862680024483,-0.011076638965835661,0.02372233960164516,3
val,overall,threshold_500nm_recall,-0.0012384336675065333,0.020340250725070348,-0.017980636237897585,0.021398002853067033,3
val,overall,threshold_500nm_f1,0.0022884041560413313,0.007874668834964335,-0.006419510850662946,0.008909423951737772,3
val,overall,threshold_500nm_auroc,-0.002813807447581714,0.004356554316934967,-0.0065546940867236,0.001969347818135292,3
val,overall,threshold_500nm_auprc,-0.006547445140985375,0.012059346875664553,-0.014928316085898508,0.00727359772255165,3
val,single,all_spearman,0.00029321320902719883,0.007405361677696031,-0.004679986665230618,0.00880391837726724,3
val,single,all_pearson,-0.0008863189748403352,0.007338244480954906,-0.006164085263319685,0.0074935326691742965,3
val,single,all_rmse,0.001988552636821702,0.017509823602340924,-0.01822753187336812,0.012372942305045043,3
val,single,exact_spearman,-0.0025599226146575393,0.007297073156418435,-0.007518603279856317,0.005819069503900098,3
val,single,exact_pearson,-0.0020631287173929294,0.007047630102752864,-0.007467267387369025,0.005908243606793984,3
val,single,exact_rmse,0.004140844395439824,0.015486161232090128,-0.013256659944434035,0.01641958563859247,3
val,single,threshold_500nm_accuracy,-0.0028059947091645756,0.011033574891990179,-0.013924050632911356,0.008141112618724633,3
val,single,threshold_500nm_balanced_accuracy,-0.006833173647166069,0.01586236802173885,-0.019282136303413022,0.011026694045174534,3
val,single,threshold_500nm_precision,0.007008110878402696,0.017227491858391994,-0.010247172182656028,0.024207676381589383,3
val,single,threshold_500nm_recall,-0.022091808900319625,0.03702890949884368,-0.04964539007092206,0.019999999999999907,3
val,single,threshold_500nm_f1,-0.006464372935856037,0.017802005662265193,-0.020668092292730922,0.013506137523555894,3
val,single,threshold_500nm_auroc,-0.005784169473197598,0.0014132797013594993,-0.007375770020533912,-0.004676174888940898,3
val,single,threshold_500nm_auprc,-0.009879920571040738,0.008412507494095566,-0.017280398092316407,-0.0007303716080897527,3
val,flanks_agree,all_spearman,0.013815411329825408,0.028053230670663672,-0.009875810285131292,0.04479288730656317,3
val,flanks_agree,all_pearson,0.011659973586278941,0.015687900068066127,0.0020306722591360016,0.029762499381297935,3
val,flanks_agree,all_rmse,-0.03405930918432468,0.04066150120125083,-0.08037928928416493,-0.004250840917389365,3
val,flanks_agree,exact_spearman,0.023066304065881022,0.04031069462418371,-0.00974869044518012,0.06806285871254403,3
val,flanks_agree,exact_pearson,0.016978874801476418,0.024160690431286852,0.0004392950084597391,0.04470555775210061,3
val,flanks_agree,exact_rmse,-0.0389625934742609,0.04312184707232577,-0.08643267829274925,-0.0022107549759942113,3
val,flanks_agree,threshold_500nm_accuracy,0.014204286365709104,0.013960248445172498,0.0,0.027906976744186074,3
val,flanks_agree,threshold_500nm_balanced_accuracy,0.012300201377264322,0.01697905463346178,0.0,0.03167214311792621,3
val,flanks_agree,threshold_500nm_precision,0.0051156638365940825,0.02350182382598068,-0.015406976744186007,0.030753968253968256,3
val,flanks_agree,threshold_500nm_recall,0.02111476207861751,0.024643579927275856,0.0,0.048192771084337394,3
val,flanks_agree,threshold_500nm_f1,0.013022610452288844,0.011703018138745675,0.0,0.02265951103160413,3
val,flanks_agree,threshold_500nm_auroc,0.0029188646599223786,0.007045547742182776,-0.0047738122300523544,0.009057971014492683,3
val,flanks_agree,threshold_500nm_auprc,-0.009155683997968955,0.026523661825686076,-0.03976612075592456,0.007018733874081029,3
val,within_gene_canonical,all_spearman,-0.040443597610238934,0.16023462340683403,-0.21286031042128595,0.10389816051843015,3
val,within_gene_canonical,all_pearson,-0.04284146719720098,0.1310508557433114,-0.17424516727955808,0.08785367091708307,3
val,within_gene_canonical,all_rmse,0.08209497583875085,0.23168060393318102,-0.1825830616101558,0.24812456606310407,3
val,within_gene_canonical,exact_spearman,0.005499729097994288,0.2763784752717567,-0.24822695035460995,0.3,3
val,within_gene_canonical,exact_pearson,0.032047723076966426,0.2330141932937783,-0.1575498396473396,0.2921800685847653,3
val,within_gene_canonical,exact_rmse,0.049991841422322714,0.20658699700232142,-0.18852783283865815,0.17232756432179785,3
val,within_gene_canonical,threshold_500nm_accuracy,0.037037037037037056,0.06415002990995845,0.0,0.11111111111111116,3
val,within_gene_canonical,threshold_500nm_balanced_accuracy,0.0484848484848485,0.0839782209730365,0.0,0.1454545454545455,3
val,within_gene_canonical,threshold_500nm_precision,0.06547619047619047,0.11340808859081933,0.0,0.1964285714285714,3
val,within_gene_canonical,threshold_500nm_recall,0.0666666666666667,0.11547005383792518,0.0,0.20000000000000007,3
val,within_gene_canonical,threshold_500nm_f1,0.06837606837606837,0.11843082444915401,0.0,0.20512820512820512,3
val,within_gene_canonical,threshold_500nm_auroc,0.009638047138047131,0.04689264298000029,-0.02083333333333337,0.06363636363636371,3
val,within_gene_canonical,threshold_500nm_auprc,0.015434077239632785,0.05499351339317072,-0.021527777777777812,0.07863247863247858,3
val,cross_gene_unresolved,all_spearman,0.023269314755426002,0.034709229067720206,-0.014365777368107069,0.05402128426851005,3
val,cross_gene_unresolved,all_pearson,0.009382956609794194,0.028831777035993926,-0.008381791962477347,0.04264937584700912,3
val,cross_gene_unresolved,all_rmse,0.007121836405876603,0.032429867948792074,-0.029095999793008476,0.03347075395793675,3
val,cross_gene_unresolved,exact_spearman,0.04453197755911357,0.03556124917793771,0.008506251935876175,0.0796097975369483,3
val,cross_gene_unresolved,exact_pearson,0.01507348946935183,0.04629318538339121,-0.021344297158173098,0.06716995610734444,3
val,cross_gene_unresolved,exact_rmse,0.012084104267354253,0.0416005059972811,-0.03197482293990983,0.05068795471450405,3
val,cross_gene_unresolved,threshold_500nm_accuracy,-0.020512820512820513,0.0177646236673731,-0.03076923076923077,0.0,3
val,cross_gene_unresolved,threshold_500nm_balanced_accuracy,-0.021248196248196256,0.01869518916424013,-0.03517316017316019,0.0,3
val,cross_gene_unresolved,threshold_500nm_precision,-0.030080730080730127,0.026052810419745217,-0.045454545454545525,0.0,3
val,cross_gene_unresolved,threshold_500nm_recall,-0.01587301587301589,0.027492869961410784,-0.04761904761904767,0.0,3
val,cross_gene_unresolved,threshold_500nm_f1,-0.02438255947454145,0.02333755662118264,-0.04651162790697683,0.0,3
val,cross_gene_unresolved,threshold_500nm_auroc,0.022636569779426925,0.05121981621021485,-0.010476190476190528,0.08163265306122447,3
val,cross_gene_unresolved,threshold_500nm_auprc,0.008415581881004922,0.04814156752112208,-0.030410208378147452,0.06228176468323998,3
val,within_gene_unresolved,all_spearman,0.0,0.0,0.0,0.0,2
val,within_gene_unresolved,all_pearson,0.023194193542704356,0.08579894858605934,-0.037474824821174146,0.08386321190658286,2
val,within_gene_unresolved,all_rmse,0.05572589979215803,0.051907691420664356,-0.00387090874593754,0.09105365643540808,3
val,within_gene_unresolved,exact_spearman,0.0,0.0,0.0,0.0,2
val,within_gene_unresolved,exact_pearson,0.24988598344205692,0.27871711027138835,0.0528032247364395,0.44696874214767435,2
val,within_gene_unresolved,exact_rmse,0.05746104361452531,0.0534498465526481,-0.004174290098047928,0.09105365643540808,3
val,within_gene_unresolved,threshold_500nm_accuracy,0.0,0.0,0.0,0.0,3
val,within_gene_unresolved,threshold_500nm_balanced_accuracy,0.0,0.0,0.0,0.0,3
val,within_gene_unresolved,threshold_500nm_precision,0.0,0.0,0.0,0.0,3
val,within_gene_unresolved,threshold_500nm_recall,0.0,0.0,0.0,0.0,3
val,within_gene_unresolved,threshold_500nm_f1,0.0,0.0,0.0,0.0,3
val,within_gene_unresolved,threshold_500nm_auroc,0.0,0.0,0.0,0.0,2
val,within_gene_unresolved,threshold_500nm_auprc,0.0,0.0,0.0,0.0,2
val,unresolved_union,all_spearman,0.01649277232485576,0.031511498272339226,-0.011828299648310003,0.05043744804723993,3
val,unresolved_union,all_pearson,0.010774571055067517,0.031854013107713255,-0.009630387946215069,0.04748000109302353,3
val,unresolved_union,all_rmse,0.011792351731334786,0.034252957543317294,-0.025910716917802223,0.040993961480418006,3
val,unresolved_union,exact_spearman,0.03279695486774076,0.04904642551910237,-0.0208601027668055,0.07531758299336305,3
val,unresolved_union,exact_pearson,0.01998064164230236,0.054931274867830046,-0.02217819736843285,0.08210173726543202,3
val,unresolved_union,exact_rmse,0.017085879590817494,0.043337724645788125,-0.028474870548883868,0.05779170897861863,3
val,unresolved_union,threshold_500nm_accuracy,-0.019082668847543133,0.016571544470575843,-0.029850746268656803,0.0,3
val,unresolved_union,threshold_500nm_balanced_accuracy,-0.019179894179894224,0.016611460596914606,-0.028968253968253976,0.0,3
val,unresolved_union,threshold_500nm_precision,-0.025816267195577575,0.022756345648107038,-0.042966042966043005,0.0,3
val,unresolved_union,threshold_500nm_recall,-0.011904761904761899,0.020619652471058056,-0.0357142857142857,0.0,3
val,unresolved_union,threshold_500nm_f1,-0.02013300243873613,0.01810795384749857,-0.0350877192982455,0.0,3
val,unresolved_union,threshold_500nm_auroc,0.016847572362278258,0.03992214071081496,-0.009821428571428537,0.06274509803921569,3
val,unresolved_union,threshold_500nm_auprc,0.004961899244661283,0.034413116820534134,-0.024259637815968516,0.04289302236414161,3
val,unmapped,all_spearman,-0.005510057423495566,0.00567443011140136,-0.009742924748840975,0.0009378058811886358,3
val,unmapped,all_pearson,-0.0035651436088542563,0.007265372916834389,-0.007850482792094104,0.004823528278963818,3
val,unmapped,all_rmse,0.003278527669984266,0.021039829972476057,-0.012397684681266119,0.027190423691491494,3
val,unmapped,exact_spearman,-0.005901106777283023,0.015717067872130213,-0.023548044139104052,0.0065918882774421705,3
val,unmapped,exact_pearson,-0.0041791145823143845,0.011100836604211286,-0.016175011161595476,0.005730664769347027,3
val,unmapped,exact_rmse,0.0025276048661050745,0.011430242666660675,-0.010624549101206915,0.010060803542044638,3
val,unmapped,threshold_500nm_accuracy,0.005244045581209796,0.013538551469298287,-0.009966777408637828,0.015974440894568676,3
val,unmapped,threshold_500nm_balanced_accuracy,0.005929238022196211,0.01210007816505799,-0.006723778968565464,0.017387779484553723,3
val,unmapped,threshold_500nm_precision,0.005206705969017289,0.025425827556888755,-0.023867360709465935,0.023278805366195754,3
val,unmapped,threshold_500nm_recall,0.008306995480399962,0.018050314377260762,-0.01132075471698113,0.024193548387096753,3
val,unmapped,threshold_500nm_f1,0.006581844140168898,0.013957259567926664,-0.007964182702656086,0.019864426760978438,3
val,unmapped,threshold_500nm_auroc,-0.0023533116156919665,0.0049042858181208805,-0.0068932246998285596,0.002848182283666123,3
