split,seed,scope,metric,legacy,masked,delta_masked_minus_legacy
val,42,overall,all_spearman,0.8056332451109803,0.8022545204002999,-0.0033787247106804585
val,42,overall,all_pearson,0.8177883144962327,0.8168116070054057,-0.0009767074908270112
val,42,overall,all_rmse,0.9270606913497268,0.9195477417340353,-0.007512949615691489
val,42,overall,exact_spearman,0.7932119479173639,0.7871375900676774,-0.0060743578496865736
val,42,overall,exact_pearson,0.7817864763845475,0.7794014550787709,-0.002385021305776558
val,42,overall,exact_rmse,0.9636824119285976,0.9617961100377326,-0.0018863018908650275
val,42,overall,threshold_500nm_accuracy,0.8581354950781702,0.8540822235089751,-0.004053271569195105
val,42,overall,threshold_500nm_balanced_accuracy,0.8663747499628044,0.8603724796526205,-0.006002270310183855
val,42,overall,threshold_500nm_precision,0.7818396226415094,0.7840772014475271,0.002237578806017715
val,42,overall,threshold_500nm_recall,0.91701244813278,0.8990318118948825,-0.017980636237897585
val,42,overall,threshold_500nm_f1,0.8440483768300444,0.8376288659793815,-0.006419510850662946
val,42,overall,threshold_500nm_auroc,0.9363121511188992,0.9297574570321756,-0.0065546940867236
val,42,overall,threshold_500nm_auprc,0.9044620747771243,0.8895337586912258,-0.014928316085898508
val,42,single,all_spearman,0.7748290803230233,0.7836329987002906,0.00880391837726724
val,42,single,all_pearson,0.8000492594554732,0.8075427921246475,0.0074935326691742965
val,42,single,all_rmse,0.9433043895523362,0.9250768576789681,-0.01822753187336812
val,42,single,exact_spearman,0.7919970234989165,0.7978160930028166,0.005819069503900098
val,42,single,exact_pearson,0.7967131393812681,0.8026213829880621,0.005908243606793984
val,42,single,exact_rmse,0.9210252528743217,0.9077685929298877,-0.013256659944434035
val,42,single,threshold_500nm_accuracy,0.8518987341772152,0.8379746835443038,-0.013924050632911356
val,42,single,threshold_500nm_balanced_accuracy,0.8695595184956888,0.8502773821922758,-0.019282136303413022
val,42,single,threshold_500nm_precision,0.7228571428571429,0.7126099706744868,-0.010247172182656028
val,42,single,threshold_500nm_recall,0.9267399267399268,0.8901098901098901,-0.03663003663003672
val,42,single,threshold_500nm_f1,0.8121990369181381,0.7915309446254072,-0.020668092292730922
val,42,single,threshold_500nm_auroc,0.9386393748095876,0.9339631999206467,-0.004676174888940898
val,42,single,threshold_500nm_auprc,0.8927969345686924,0.875516536476376,-0.017280398092316407
val,42,flanks_agree,all_spearman,0.7663026490181795,0.7728318059862238,0.006529156968044347
val,42,flanks_agree,all_pearson,0.7950979202510207,0.7971285925101567,0.0020306722591360016
val,42,flanks_agree,all_rmse,0.987730812917351,0.9834799719999616,-0.004250840917389365
val,42,flanks_agree,exact_spearman,0.6130709943213316,0.6239557382516108,0.010884743930279162
val,42,flanks_agree,exact_pearson,0.6382142043684668,0.6440059760123357,0.005791771643868904
val,42,flanks_agree,exact_rmse,1.0633184507907039,1.0611076958147097,-0.0022107549759942113
val,42,flanks_agree,threshold_500nm_accuracy,0.8389830508474576,0.8389830508474576,0.0
val,42,flanks_agree,threshold_500nm_balanced_accuracy,0.8268417874396135,0.8268417874396135,0.0
val,42,flanks_agree,threshold_500nm_precision,0.8581081081081081,0.8581081081081081,0.0
val,42,flanks_agree,threshold_500nm_recall,0.8819444444444444,0.8819444444444444,0.0
val,42,flanks_agree,threshold_500nm_f1,0.8698630136986302,0.8698630136986302,0.0
val,42,flanks_agree,threshold_500nm_auroc,0.886322463768116,0.8953804347826086,0.009057971014492683
val,42,flanks_agree,threshold_500nm_auprc,0.8976208449132813,0.902901179801218,0.005280334887936666
val,42,within_gene_canonical,all_spearman,0.7359342542077344,0.7235656112798734,-0.012368642927860996
val,42,within_gene_canonical,all_pearson,0.7910646330849863,0.7489317278558584,-0.04213290522912794
val,42,within_gene_canonical,all_rmse,1.0935004180942556,1.2742438411575598,0.18074342306330426
val,42,within_gene_canonical,exact_spearman,0.5361627077413879,0.5008888453899807,-0.03527386235140717
val,42,within_gene_canonical,exact_pearson,0.6513102907354372,0.6128232310289108,-0.03848705970652644
val,42,within_gene_canonical,exact_rmse,0.8956736596747481,1.068001223996546,0.17232756432179785
val,42,within_gene_canonical,threshold_500nm_accuracy,0.7058823529411765,0.7058823529411765,0.0
val,42,within_gene_canonical,threshold_500nm_balanced_accuracy,0.6944444444444444,0.6944444444444444,0.0
val,42,within_gene_canonical,threshold_500nm_precision,0.6666666666666666,0.6666666666666666,0.0
val,42,within_gene_canonical,threshold_500nm_recall,0.8888888888888888,0.8888888888888888,0.0
val,42,within_gene_canonical,threshold_500nm_f1,0.761904761904762,0.761904761904762,0.0
val,42,within_gene_canonical,threshold_500nm_auroc,0.8333333333333334,0.8194444444444444,-0.01388888888888895
val,42,within_gene_canonical,threshold_500nm_auprc,0.8453093203093203,0.8345068511735179,-0.010802469135802406
val,42,cross_gene_unresolved,all_spearman,0.7804746722724938,0.7661088949043867,-0.014365777368107069
val,42,cross_gene_unresolved,all_pearson,0.8264205825610662,0.820301868505917,-0.006118714055149188
val,42,cross_gene_unresolved,all_rmse,1.0331693243782902,1.0501600794309918,0.016990755052701534
val,42,cross_gene_unresolved,exact_spearman,0.6659466050204778,0.711426488224994,0.045479883204516236
val,42,cross_gene_unresolved,exact_pearson,0.7264272329587242,0.7258220424176084,-0.000605190541115852
val,42,cross_gene_unresolved,exact_rmse,1.0728141917070015,1.09035337273447,0.017539181027468542
val,42,cross_gene_unresolved,threshold_500nm_accuracy,0.8923076923076924,0.8615384615384616,-0.03076923076923077
val,42,cross_gene_unresolved,threshold_500nm_balanced_accuracy,0.8976190476190476,0.8690476190476191,-0.02857142857142858
val,42,cross_gene_unresolved,threshold_500nm_precision,0.8285714285714286,0.7837837837837838,-0.044787644787644854
val,42,cross_gene_unresolved,threshold_500nm_recall,0.9666666666666667,0.9666666666666667,0.0
val,42,cross_gene_unresolved,threshold_500nm_f1,0.8923076923076922,0.8656716417910447,-0.026636050516647525
val,42,cross_gene_unresolved,threshold_500nm_auroc,0.9742857142857143,0.9638095238095238,-0.010476190476190528
val,42,cross_gene_unresolved,threshold_500nm_auprc,0.9703624703563605,0.939952261978213,-0.030410208378147452
val,42,within_gene_unresolved,all_rmse,1.5795136026239887,1.6705672590593967,0.09105365643540808
val,42,within_gene_unresolved,exact_rmse,1.5795136026239887,1.6705672590593967,0.09105365643540808
val,42,within_gene_unresolved,threshold_500nm_accuracy,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_balanced_accuracy,0.5,0.5,0.0
val,42,within_gene_unresolved,threshold_500nm_precision,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_recall,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_f1,1.0,1.0,0.0
val,42,unresolved_union,all_spearman,0.7953829834695819,0.7835546838212719,-0.011828299648310003
val,42,unresolved_union,all_pearson,0.8341056912385395,0.8285797912569336,-0.0055258999816059085
val,42,unresolved_union,all_rmse,1.0535884089454903,1.073882219576879,0.020293810631388576
val,42,unresolved_union,exact_spearman,0.6945063349543787,0.7384397193310435,0.04393338437666472
val,42,unresolved_union,exact_pearson,0.7383028717483051,0.738321256778213,1.8385029907919126e-05
val,42,unresolved_union,exact_rmse,1.0986025192871358,1.1205433196298535,0.021940800342717726
val,42,unresolved_union,threshold_500nm_accuracy,0.8955223880597015,0.8656716417910447,-0.029850746268656803
val,42,unresolved_union,threshold_500nm_balanced_accuracy,0.8986607142857144,0.8700892857142857,-0.028571428571428692
val,42,unresolved_union,threshold_500nm_precision,0.8378378378378378,0.7948717948717948,-0.042966042966043005
val,42,unresolved_union,threshold_500nm_recall,0.96875,0.96875,0.0
val,42,unresolved_union,threshold_500nm_f1,0.8985507246376812,0.8732394366197183,-0.025311288017962896
val,42,unresolved_union,threshold_500nm_auroc,0.9758928571428571,0.9660714285714286,-0.009821428571428537
val,42,unresolved_union,threshold_500nm_auprc,0.9740000879787349,0.9497404501627664,-0.024259637815968516
val,42,unmapped,all_spearman,0.8134023112282202,0.8036593864793792,-0.009742924748840975
val,42,unmapped,all_pearson,0.8404720228633137,0.8326215400712196,-0.007850482792094104
val,42,unmapped,all_rmse,0.8600156927589541,0.8550585367586815,-0.004957156000272578
val,42,unmapped,exact_spearman,0.7462348152112476,0.7226867710721435,-0.023548044139104052
val,42,unmapped,exact_pearson,0.768349701539251,0.7521746903776555,-0.016175011161595476
val,42,unmapped,exact_rmse,0.9721006685260878,0.9802472286835653,0.0081465601574775
