step,split,metric,value
1,train,loss,1.7615292031886214
1,train,lr,0.00027828152422874257
1,train,loss_binding,2.5943029058181635
1,train,loss_binding_affinity_probe,4.4570005677514155
1,train,loss_binding_assay_panel,1.373000862739854
1,train,loss_binding_ec50,2.037158225669565
1,train,loss_binding_ic50,2.552137296078569
1,train,loss_binding_kd,3.1254747686749798
1,train,loss_consistency_binding_orthogonality,0.00020292804022620519
1,train,loss_elution,0.01071563219105304
1,train,loss_elution_mil_sparsity,0.009460053106738349
1,train,loss_excision_condition_panel,0.04996804855717127
1,train,loss_foreignness,0.63425824298697
1,train,loss_koff,4.555514708161354
1,train,loss_mhc_a_fine_type,0.5174073130050201
1,train,loss_mhc_b_fine_type,0.553348288018951
1,train,loss_mhc_class,0.18996671570202725
1,train,loss_mhc_species,0.761834066992594
1,train,loss_ms,0.01071563219105304
1,train,loss_ms_mil_sparsity,0.009460053106738349
1,train,loss_presentation,0.03340397770043021
1,train,loss_presentation_mil_contrastive,0.036866117449589786
1,train,loss_presentation_mil_sparsity,0.009309260198309764
1,train,loss_species_of_origin,1.021269519955425
1,train,loss_t_half,4.826567634940147
1,train,loss_tm,1.478296449035406
1,train,batch_binding_max_allele_fraction,1.0
1,train,batch_binding_samples,112.72881355932203
1,train,batch_binding_unique_alleles,1.0
1,train,batch_binding_unique_mhc_classes,1.0
1,train,batch_binding_unique_species,1.0
1,train,batch_max_allele_fraction,0.8822503210776961
1,train,batch_max_mhc_class_fraction,1.0
1,train,batch_max_species_fraction,1.0
1,train,batch_supervised_weight_binding,0.07647570648670274
1,train,batch_supervised_weight_binding_affinity_probe,0.07647570648670274
1,train,batch_supervised_weight_binding_assay_panel,0.07647570648670274
1,train,batch_supervised_weight_binding_ec50,0.07396993903720844
1,train,batch_supervised_weight_binding_ic50,0.07647570648670274
1,train,batch_supervised_weight_binding_kd,0.07647570648670274
1,train,batch_supervised_weight_elution,0.07647570648670274
1,train,batch_supervised_weight_excision_condition_panel,0.07647570648670274
1,train,batch_supervised_weight_foreignness,0.07647570648670274
1,train,batch_supervised_weight_koff,0.07203565505804313
1,train,batch_supervised_weight_mhc_a_fine_type,0.007647570648670267
1,train,batch_supervised_weight_mhc_b_fine_type,0.007647570648670267
1,train,batch_supervised_weight_mhc_class,0.007647570648670267
1,train,batch_supervised_weight_mhc_species,0.007647570648670267
1,train,batch_supervised_weight_ms,0.07647570648670274
1,train,batch_supervised_weight_presentation,0.07647570648670274
1,train,batch_supervised_weight_species_of_origin,0.07647570648670274
1,train,batch_supervised_weight_t_half,0.07647570648670274
1,train,batch_supervised_weight_tm,0.0704809286898839
1,train,batch_support_binding,112.72881355932203
1,train,batch_support_binding_affinity_probe,112.72881355932203
1,train,batch_support_binding_ec50,1.732394366197183
1,train,batch_support_binding_ic50,51.91525423728814
1,train,batch_support_binding_kd,7.508474576271187
1,train,batch_support_foreignness,239.5
1,train,batch_support_koff,1.0
1,train,batch_support_mhc_a_fine_type,255.74576271186442
1,train,batch_support_mhc_b_fine_type,255.74576271186442
1,train,batch_support_mhc_class,255.74576271186442
1,train,batch_support_mhc_species,255.74576271186442
1,train,batch_support_species_of_origin,239.5
1,train,batch_support_t_half,6.516949152542373
1,train,batch_support_tm,1.0
1,train,batch_unique_alleles,2.0
1,train,batch_unique_mhc_classes,1.0
1,train,batch_unique_species,1.0
1,train,out_apc_cell_type_context_vec_mean,-0.007445117730994598
1,train,out_apc_cell_type_context_vec_var,0.009711529436063463
1,train,out_assays_EC50_nM_mean,3.4679892507650085
1,train,out_assays_EC50_nM_var,0.0009800726569110184
1,train,out_assays_IC50_nM_mean,2.6284636471231106
1,train,out_assays_IC50_nM_var,0.0004366727024393247
1,train,out_assays_KD_nM_mean,2.7521377589743015
1,train,out_assays_KD_nM_var,0.0015536998169840969
1,train,out_assays_KD_proxy_ec50_nM_mean,2.7521377589743015
1,train,out_assays_KD_proxy_ec50_nM_var,0.0015536998169840969
1,train,out_assays_KD_proxy_ic50_nM_mean,2.7521377589743015
1,train,out_assays_KD_proxy_ic50_nM_var,0.0015536998169840969
1,train,out_assays_Tm_mean,0.002362284996799367
1,train,out_assays_Tm_var,0.0001417005019686905
1,train,out_assays_koff_mean,-2.3893924762131804
1,train,out_assays_koff_var,0.04025272578168739
1,train,out_assays_kon_mean,0.5198627732599438
1,train,out_assays_kon_var,0.000417709880862799
1,train,out_assays_t_half_mean,0.4804212179003378
1,train,out_assays_t_half_var,0.040594498394057155
1,train,out_binding_affinity_probe_kd_mean,1.9492899185930521
1,train,out_binding_affinity_probe_kd_raw_mean,1.9391104938754402
1,train,out_binding_affinity_probe_kd_raw_var,0.0010138202496664697
1,train,out_binding_affinity_probe_kd_var,0.001072612629964863
1,train,out_binding_affinity_score_mean,1.9492899185930521
1,train,out_binding_affinity_score_raw_mean,1.9391104938754402
1,train,out_binding_affinity_score_raw_var,0.0010138202496664697
1,train,out_binding_affinity_score_var,0.001072612629964863
1,train,out_binding_assay_context_vec_mean,0.0
1,train,out_binding_assay_context_vec_var,0.0
1,train,out_binding_assay_panel_assay_geometry_mean,2.0002326043677847
1,train,out_binding_assay_panel_assay_geometry_var,0.0016033395258692523
1,train,out_binding_assay_panel_assay_prep_mean,1.9955355705598654
1,train,out_binding_assay_panel_assay_prep_var,0.0016365513320587047
1,train,out_binding_assay_panel_assay_readout_mean,1.996521928679135
1,train,out_binding_assay_panel_assay_readout_var,0.0017014269705661286
1,train,out_binding_assay_panel_assay_type_mean,1.993504932560658
1,train,out_binding_assay_panel_assay_type_var,0.0016845092408001913
1,train,out_binding_base_logit_mean,-0.1519076107543404
1,train,out_binding_base_logit_prob_mean,0.44341914185275466
1,train,out_binding_base_logit_prob_var,0.0004117241330558792
1,train,out_binding_base_logit_var,0.012683261712713136
1,train,out_binding_class1_logit_mean,0.6462312538366196
1,train,out_binding_class1_logit_prob_mean,0.5810724112947109
1,train,out_binding_class1_logit_prob_var,0.00037000572452478665
1,train,out_binding_class1_logit_var,0.012683261760068522
1,train,out_binding_class1_prob_mean,0.5810724112947109
1,train,out_binding_class1_prob_var,0.00037000572452478665
1,train,out_binding_class2_logit_mean,-0.950046450089095
1,train,out_binding_class2_logit_prob_mean,0.3271201106135623
1,train,out_binding_class2_logit_prob_var,0.0004389213382498799
1,train,out_binding_class2_logit_var,0.01268326186316514
1,train,out_binding_class2_prob_mean,0.3271201106135623
1,train,out_binding_class2_prob_var,0.0004389213382498799
1,train,out_binding_core_kd_log10_mean,5.8584340628931075
1,train,out_binding_core_kd_log10_var,0.017212922191809688
1,train,out_binding_kd_bias_abs_mean,0.06761614693786507
1,train,out_binding_kd_bias_cap_mean,0.20131355865021883
1,train,out_binding_kd_bias_cap_var,0.0
1,train,out_binding_kd_bias_mean,0.06425272320965462
1,train,out_binding_kd_bias_near_cap_rate,0.0
1,train,out_binding_kd_bias_raw_abs_mean,0.6132266401644733
1,train,out_binding_kd_bias_raw_mean,0.5951869437723594
1,train,out_binding_kd_bias_raw_var,0.0010352016116346437
1,train,out_binding_kd_bias_var,1.1052180002287183e-05
1,train,out_binding_latents_log_koff_mean,-2.395184880596096
1,train,out_binding_latents_log_koff_var,0.040505741349711494
1,train,out_binding_latents_log_kon_chaperone_mean,0.42593938768920253
1,train,out_binding_latents_log_kon_chaperone_var,0.0007207254820583577
1,train,out_binding_latents_log_kon_intrinsic_mean,-1.097563917006729
1,train,out_binding_latents_log_kon_intrinsic_var,0.0011354767802759405
1,train,out_binding_log_koff_near_lower_rate,0.0
1,train,out_binding_log_koff_near_upper_rate,0.0
1,train,out_binding_log_kon_chaperone_near_lower_rate,0.0
1,train,out_binding_log_kon_chaperone_near_upper_rate,0.0
1,train,out_binding_log_kon_intrinsic_near_lower_rate,0.0
1,train,out_binding_log_kon_intrinsic_near_upper_rate,0.0
1,train,out_binding_logit_from_core_mean,-8.842557391877902
1,train,out_binding_logit_from_core_near_cap_rate,0.0
1,train,out_binding_logit_from_core_var,0.14681975700363706
1,train,out_binding_logit_mean,0.6462312538366196
1,train,out_binding_logit_prob_mean,0.5810724112947109
1,train,out_binding_logit_prob_var,0.00037000572452478665
1,train,out_binding_logit_var,0.012683261760068522
1,train,out_binding_mixed_kd_log10_mean,2.9281009476063615
1,train,out_binding_mixed_kd_log10_var,0.0020817176973959234
1,train,out_binding_mixed_logit_mean,0.6462312538366196
1,train,out_binding_mixed_logit_prob_mean,0.5810724112947109
1,train,out_binding_mixed_logit_prob_var,0.00037000572452478665
1,train,out_binding_mixed_logit_var,0.012683261760068522
1,train,out_binding_mixed_prob_mean,0.5810724112947109
1,train,out_binding_mixed_prob_var,0.00037000572452478665
1,train,out_binding_prob_mean,0.5810724112947109
1,train,out_binding_prob_var,0.00037000572452478665
1,train,out_binding_probe_core_kd_l1_mean,0.8067913263783617
1,train,out_binding_probe_core_kd_signed_mean,-0.80284783274914
1,train,out_binding_probe_mix_weight_mean,0.7494892114299839
1,train,out_binding_probe_mix_weight_var,0.0
1,train,out_binding_same_peptide_diff_allele_pairs,0.05084745762711865
1,train,out_binding_same_peptide_exact_pairs,0.0
1,train,out_binding_same_peptide_labeled_pairs,0.0
1,train,out_binding_same_peptide_pairs_used,0.0
1,train,out_binding_same_peptide_rankable_pairs,0.0
1,train,out_binding_sequence_summary_vec_mean,0.0
1,train,out_binding_sequence_summary_vec_var,0.0
1,train,out_binding_stability_score_mean,0.04630109599901963
1,train,out_binding_stability_score_raw_mean,0.04620961764416957
1,train,out_binding_stability_score_raw_var,0.00030448597125526297
1,train,out_binding_stability_score_var,0.0004563324847306106
1,train,out_chain_compat_logit_mean,0.1984369065296852
1,train,out_chain_compat_logit_prob_mean,0.5491792592456786
1,train,out_chain_compat_logit_prob_var,0.0003183838229449328
1,train,out_chain_compat_logit_var,0.005407394345315031
1,train,out_chain_compat_prob_mean,0.5491434967113753
1,train,out_chain_compat_prob_var,0.00031937262925350944
1,train,out_core_length_mean,8.949885513822911
1,train,out_core_length_norm_mean,0.9562039097486916
1,train,out_core_length_norm_var,0.006450792814020888
1,train,out_core_length_var,0.054645341513204874
1,train,out_core_membership_prob_mean,0.01999999941089901
1,train,out_core_membership_prob_var,0.0017806139875250727
1,train,out_core_relative_position_index_mean,24.132858195547332
1,train,out_core_relative_position_index_var,209.2679836467161
1,train,out_core_start_logit_mean,-9698.748601363877
1,train,out_core_start_logit_prob_mean,0.014438899581210089
1,train,out_core_start_logit_prob_var,0.006718811890804919
1,train,out_core_start_logit_var,2921479.9872881356
1,train,out_core_start_prob_mean,0.019999999521394907
1,train,out_core_start_prob_var,0.016112082266895953
1,train,out_core_start_probs_mean,0.019999999521394907
1,train,out_core_start_probs_var,0.016112082266895953
1,train,out_core_window_length_mean,8.12124685109672
1,train,out_core_window_length_var,0.5225078037987321
1,train,out_core_window_logit_mean,-9438.75786215572
1,train,out_core_window_logit_prob_mean,0.026230134590828822
1,train,out_core_window_logit_prob_var,0.011789905049411928
1,train,out_core_window_logit_var,5089791.665254237
1,train,out_core_window_mask_mean,0.05461204370831029
1,train,out_core_window_mask_var,0.05106199076557058
1,train,out_core_window_posterior_prob_mean,0.036709004152818754
1,train,out_core_window_posterior_prob_var,0.02872135711960116
1,train,out_core_window_prior_logit_mean,-9438.746102025952
