split,rows,target,count,exact,censored_lower,censored_upper,negative,positive
train,46168,binding,13418,10961,0,2457,,
train,46168,binding_ec50,129,127,0,2,,
train,46168,binding_ic50,6209,5580,0,629,,
train,46168,binding_kd,905,427,0,478,,
train,46168,binding_kd_direct,905,427,0,478,,
train,46168,binding_kd_proxy_ec50,1698,644,0,1054,,
train,46168,binding_kd_proxy_ic50,4477,4183,0,294,,
train,46168,elution,31939,0,0,0,15924,16015
train,46168,foreignness,28272,0,0,0,18265,10007
train,46168,species_of_origin,28272,0,0,0,,
train,46168,t_half,811,799,0,12,,
val,5771,binding,1687,1352,0,335,,
val,5771,binding_ec50,8,8,0,0,,
val,5771,binding_ic50,773,696,0,77,,
val,5771,binding_kd,119,49,0,70,,
val,5771,binding_kd_direct,119,49,0,70,,
val,5771,binding_kd_proxy_ec50,228,78,0,150,,
val,5771,binding_kd_proxy_ic50,559,521,0,38,,
val,5771,elution,3994,0,0,0,2016,1978
val,5771,foreignness,3514,0,0,0,2254,1260
val,5771,species_of_origin,3514,0,0,0,,
val,5771,t_half,90,89,0,1,,
test,5771,binding,1616,1316,0,300,,
test,5771,binding_ec50,10,10,0,0,,
test,5771,binding_ic50,731,671,0,60,,
test,5771,binding_kd,108,48,0,60,,
test,5771,binding_kd_direct,108,48,0,60,,
test,5771,binding_kd_proxy_ec50,225,84,0,141,,
test,5771,binding_kd_proxy_ic50,542,503,0,39,,
test,5771,elution,4067,0,0,0,2060,2007
test,5771,foreignness,3508,0,0,0,2281,1227
test,5771,species_of_origin,3508,0,0,0,,
test,5771,t_half,88,85,0,3,,
