kind,stage,name,count
stages,loaded_post_cap,binding,96
stages,loaded_post_cap,kinetics,24
stages,loaded_post_cap,stability,24
stages,loaded_post_cap,processing,0
stages,loaded_post_cap,elution,96
stages,loaded_post_cap,tcell,96
stages,loaded_post_cap,tcr_evidence,24
stages,loaded_pre_cap,binding,249292
stages,loaded_pre_cap,kinetics,106
stages,loaded_pre_cap,stability,12259
stages,loaded_pre_cap,processing,0
stages,loaded_pre_cap,elution,2630813
stages,loaded_pre_cap,tcell,207987
stages,loaded_pre_cap,tcr_evidence,166285
stages,after_target_exclusion,binding,96
stages,after_target_exclusion,kinetics,24
stages,after_target_exclusion,stability,24
stages,after_target_exclusion,processing,0
stages,after_target_exclusion,elution,96
stages,after_target_exclusion,tcell,96
stages,after_target_exclusion,tcr_evidence,24
stages,before_mhc_filter,binding,96
stages,before_mhc_filter,kinetics,24
stages,before_mhc_filter,stability,24
stages,before_mhc_filter,processing,0
stages,before_mhc_filter,elution,96
stages,before_mhc_filter,tcell,96
stages,before_mhc_filter,tcr_evidence,24
stages,after_mhc_filter,binding,82
stages,after_mhc_filter,kinetics,23
stages,after_mhc_filter,stability,24
stages,after_mhc_filter,processing,0
stages,after_mhc_filter,elution,73
stages,after_mhc_filter,tcell,63
stages,after_mhc_filter,tcr_evidence,22
stages,after_synthetic_augmentation,binding,82
stages,after_synthetic_augmentation,kinetics,23
stages,after_synthetic_augmentation,stability,24
stages,after_synthetic_augmentation,processing,0
stages,after_synthetic_augmentation,elution,73
stages,after_synthetic_augmentation,tcell,63
stages,after_synthetic_augmentation,tcr_evidence,22
stages,final_dataset,samples,287
stages,final_samples_by_source,iedb,265
stages,final_samples_by_source,vdjdb,22
drop_reasons,caps,binding,249196
drop_reasons,caps,kinetics,82
drop_reasons,caps,stability,12235
drop_reasons,caps,processing,0
drop_reasons,caps,elution,2630717
drop_reasons,caps,tcell,207891
drop_reasons,caps,tcr_evidence,166261
drop_reasons,source_ingest,skipped_invalid_peptide,156765
drop_reasons,source_ingest,skipped_unroutable_or_missing_label,230
drop_reasons,mhc_filter,binding_dropped,14
drop_reasons,mhc_filter,kinetics_dropped,1
drop_reasons,mhc_filter,stability_dropped,0
drop_reasons,mhc_filter,processing_dropped,0
drop_reasons,mhc_filter,elution_rows_dropped,23
drop_reasons,mhc_filter,elution_alleles_dropped,25
drop_reasons,mhc_filter,tcell_dropped,33
drop_reasons,mhc_filter,vdjdb_dropped,2
additions,mhc_only,samples,0
additions,uniprot,samples,0
diagnostics,mhc_resolution_alleles,total,269
diagnostics,mhc_resolution_alleles,resolved,232
diagnostics,mhc_resolution_alleles,resolved_mhcseqs,232
diagnostics,mhc_resolution_alleles,resolved_index,0
diagnostics,mhc_resolution_alleles,missing,37
diagnostics,mhc_sequence_quality,total_sequences,232
diagnostics,mhc_sequence_quality,noncanonical_count,0
diagnostics,mhc_sequence_quality,x_sequence_count,0
diagnostics,mhc_sequence_quality,x_residue_total,0
diagnostics,mhc_sequence_quality,nucleotide_like_count,0
diagnostics,mhc_sequence_quality,short_count,0
diagnostics,invalid_mhc_sequences,count,0
diagnostics,mhc_coverage_before_filter,rows_considered,371
diagnostics,mhc_coverage_before_filter,resolved_rows,296
diagnostics,mhc_coverage_before_filter,missing_rows,75
diagnostics,mhc_coverage_before_filter,resolved_fraction,0.7978436657681941
diagnostics,mhc_coverage_before_filter,missing_fraction,0.20215633423180593
diagnostics,mhc_coverage_after_filter,rows_considered,296
diagnostics,mhc_coverage_after_filter,resolved_rows,296
diagnostics,mhc_coverage_after_filter,missing_rows,0
diagnostics,mhc_coverage_after_filter,resolved_fraction,1.0
diagnostics,mhc_coverage_after_filter,missing_fraction,0.0
