scope,modality,state,species,count,fraction_of_total_rows,fraction_within_scope
overall,all,resolved,all,296,0.7978436657681941,0.7978436657681941
overall,all,missing,all,75,0.20215633423180593,0.20215633423180593
overall_species,all,resolved,human,246,0.6630727762803235,0.831081081081081
overall_species,all,resolved,murine,46,0.12398921832884097,0.1554054054054054
overall_species,all,resolved,nhp,2,0.005390835579514825,0.006756756756756757
overall_species,all,resolved,other,2,0.005390835579514825,0.006756756756756757
overall_species,all,missing,human,47,0.12668463611859837,0.6266666666666667
overall_species,all,missing,murine,26,0.07008086253369272,0.3466666666666667
overall_species,all,missing,nhp,0,0.0,0.0
overall_species,all,missing,other,2,0.005390835579514825,0.02666666666666667
modality,binding,resolved,all,82,0.2210242587601078,0.8541666666666666
modality,binding,missing,all,14,0.03773584905660377,0.14583333333333334
modality_species,binding,resolved,human,77,0.20754716981132076,0.9390243902439024
modality_species,binding,resolved,murine,3,0.008086253369272238,0.036585365853658534
modality_species,binding,resolved,nhp,2,0.005390835579514825,0.024390243902439025
modality_species,binding,resolved,other,0,0.0,0.0
modality_species,binding,missing,human,11,0.029649595687331536,0.7857142857142857
modality_species,binding,missing,murine,3,0.008086253369272238,0.21428571428571427
modality_species,binding,missing,nhp,0,0.0,0.0
modality_species,binding,missing,other,0,0.0,0.0
modality,elution,resolved,all,82,0.2210242587601078,0.7663551401869159
modality,elution,missing,all,25,0.0673854447439353,0.2336448598130841
modality_species,elution,resolved,human,72,0.1940700808625337,0.8780487804878049
modality_species,elution,resolved,murine,9,0.02425876010781671,0.10975609756097561
modality_species,elution,resolved,nhp,0,0.0,0.0
modality_species,elution,resolved,other,1,0.0026954177897574125,0.012195121951219513
modality_species,elution,missing,human,21,0.05660377358490566,0.84
modality_species,elution,missing,murine,2,0.005390835579514825,0.08
modality_species,elution,missing,nhp,0,0.0,0.0
modality_species,elution,missing,other,2,0.005390835579514825,0.08
modality,kinetics,resolved,all,23,0.06199460916442048,0.9583333333333334
modality,kinetics,missing,all,1,0.0026954177897574125,0.041666666666666664
modality_species,kinetics,resolved,human,10,0.026954177897574125,0.43478260869565216
modality_species,kinetics,resolved,murine,13,0.03504043126684636,0.5652173913043478
modality_species,kinetics,resolved,nhp,0,0.0,0.0
modality_species,kinetics,resolved,other,0,0.0,0.0
modality_species,kinetics,missing,human,1,0.0026954177897574125,1.0
modality_species,kinetics,missing,murine,0,0.0,0.0
modality_species,kinetics,missing,nhp,0,0.0,0.0
modality_species,kinetics,missing,other,0,0.0,0.0
modality,stability,resolved,all,24,0.0646900269541779,1.0
modality,stability,missing,all,0,0.0,0.0
modality_species,stability,resolved,human,24,0.0646900269541779,1.0
modality_species,stability,resolved,murine,0,0.0,0.0
modality_species,stability,resolved,nhp,0,0.0,0.0
modality_species,stability,resolved,other,0,0.0,0.0
modality_species,stability,missing,human,0,0.0,0.0
modality_species,stability,missing,murine,0,0.0,0.0
modality_species,stability,missing,nhp,0,0.0,0.0
modality_species,stability,missing,other,0,0.0,0.0
modality,tcell,resolved,all,63,0.16981132075471697,0.65625
modality,tcell,missing,all,33,0.0889487870619946,0.34375
modality_species,tcell,resolved,human,41,0.1105121293800539,0.6507936507936508
modality_species,tcell,resolved,murine,21,0.05660377358490566,0.3333333333333333
modality_species,tcell,resolved,nhp,0,0.0,0.0
modality_species,tcell,resolved,other,1,0.0026954177897574125,0.015873015873015872
modality_species,tcell,missing,human,12,0.03234501347708895,0.36363636363636365
modality_species,tcell,missing,murine,21,0.05660377358490566,0.6363636363636364
modality_species,tcell,missing,nhp,0,0.0,0.0
modality_species,tcell,missing,other,0,0.0,0.0
modality,vdjdb,resolved,all,22,0.05929919137466307,0.9166666666666666
modality,vdjdb,missing,all,2,0.005390835579514825,0.08333333333333333
modality_species,vdjdb,resolved,human,22,0.05929919137466307,1.0
modality_species,vdjdb,resolved,murine,0,0.0,0.0
modality_species,vdjdb,resolved,nhp,0,0.0,0.0
modality_species,vdjdb,resolved,other,0,0.0,0.0
modality_species,vdjdb,missing,human,2,0.005390835579514825,1.0
modality_species,vdjdb,missing,murine,0,0.0,0.0
modality_species,vdjdb,missing,nhp,0,0.0,0.0
modality_species,vdjdb,missing,other,0,0.0,0.0
