split,rows,target,count,exact,censored_lower,censored_upper,negative,positive
train,173,binding,47,34,0,13,,
train,173,binding_ec50,1,1,0,0,,
train,173,binding_ic50,15,13,0,2,,
train,173,binding_kd,4,0,0,4,,
train,173,binding_kd_direct,4,0,0,4,,
train,173,binding_kd_proxy_ec50,8,2,0,6,,
train,173,binding_kd_proxy_ic50,19,18,0,1,,
train,173,elution,45,0,0,0,10,35
train,173,foreignness,138,0,0,0,57,81
train,173,koff,8,0,0,0,,
train,173,kon,4,0,0,0,,
train,173,species_of_origin,138,0,0,0,,
train,173,t_half,18,18,0,0,,
train,173,tcell,37,0,0,0,17,20
train,173,tcell_apc_type,32,0,0,0,,
train,173,tcell_assay_method,37,0,0,0,,
train,173,tcell_assay_readout,37,0,0,0,,
train,173,tcell_culture_context,37,0,0,0,,
train,173,tcell_peptide_format,37,0,0,0,,
train,173,tcell_stim_context,37,0,0,0,,
train,173,tcr_evidence,13,0,0,0,0,13
train,173,tm,1,1,0,0,,
val,57,binding,17,13,0,4,,
val,57,binding_ic50,4,4,0,0,,
val,57,binding_kd,1,0,0,1,,
val,57,binding_kd_direct,1,0,0,1,,
val,57,binding_kd_proxy_ec50,2,1,0,1,,
val,57,binding_kd_proxy_ic50,10,8,0,2,,
val,57,elution,15,0,0,0,6,9
val,57,foreignness,39,0,0,0,16,23
val,57,koff,5,0,0,0,,
val,57,kon,2,0,0,0,,
val,57,species_of_origin,39,0,0,0,,
val,57,t_half,1,1,0,0,,
val,57,tcell,14,0,0,0,7,7
val,57,tcell_apc_type,12,0,0,0,,
val,57,tcell_assay_method,14,0,0,0,,
val,57,tcell_assay_readout,14,0,0,0,,
val,57,tcell_culture_context,14,0,0,0,,
val,57,tcell_peptide_format,14,0,0,0,,
val,57,tcell_stim_context,14,0,0,0,,
val,57,tcr_evidence,3,0,0,0,0,3
test,57,binding,18,17,0,1,,
test,57,binding_ic50,6,6,0,0,,
test,57,binding_kd,2,2,0,0,,
test,57,binding_kd_direct,2,2,0,0,,
test,57,binding_kd_proxy_ec50,1,0,0,1,,
test,57,binding_kd_proxy_ic50,8,8,0,0,,
test,57,binding_unknown,1,1,0,0,,
test,57,elution,13,0,0,0,4,9
test,57,foreignness,45,0,0,0,14,31
test,57,koff,3,0,0,0,,
test,57,kon,1,0,0,0,,
test,57,species_of_origin,45,0,0,0,,
test,57,t_half,3,3,0,0,,
test,57,tcell,12,0,0,0,7,5
test,57,tcell_apc_type,9,0,0,0,,
test,57,tcell_assay_method,12,0,0,0,,
test,57,tcell_assay_readout,12,0,0,0,,
test,57,tcell_culture_context,12,0,0,0,,
test,57,tcell_peptide_format,12,0,0,0,,
test,57,tcell_stim_context,12,0,0,0,,
test,57,tcr_evidence,6,0,0,0,0,6
test,57,tm,1,1,0,0,,
