kind,stage,name,count
stages,loaded_post_cap,binding,96
stages,loaded_post_cap,kinetics,2
stages,loaded_post_cap,stability,24
stages,loaded_post_cap,processing,0
stages,loaded_post_cap,elution,96
stages,loaded_post_cap,tcell,0
stages,loaded_post_cap,tcr_evidence,0
stages,loaded_pre_cap,binding,16721
stages,loaded_pre_cap,kinetics,2
stages,loaded_pre_cap,stability,2150
stages,loaded_pre_cap,elution,726766
stages,after_target_exclusion,binding,96
stages,after_target_exclusion,kinetics,0
stages,after_target_exclusion,stability,24
stages,after_target_exclusion,processing,0
stages,after_target_exclusion,elution,96
stages,after_target_exclusion,tcell,0
stages,after_target_exclusion,tcr_evidence,0
stages,before_mhc_filter,binding,96
stages,before_mhc_filter,kinetics,0
stages,before_mhc_filter,stability,24
stages,before_mhc_filter,processing,0
stages,before_mhc_filter,elution,96
stages,before_mhc_filter,tcell,0
stages,before_mhc_filter,tcr_evidence,0
stages,after_mhc_filter,binding,96
stages,after_mhc_filter,kinetics,0
stages,after_mhc_filter,stability,24
stages,after_mhc_filter,processing,0
stages,after_mhc_filter,elution,96
stages,after_mhc_filter,tcell,0
stages,after_mhc_filter,tcr_evidence,0
stages,after_synthetic_augmentation,binding,96
stages,after_synthetic_augmentation,kinetics,0
stages,after_synthetic_augmentation,stability,24
stages,after_synthetic_augmentation,processing,0
stages,after_synthetic_augmentation,elution,96
stages,after_synthetic_augmentation,tcell,0
stages,after_synthetic_augmentation,tcr_evidence,0
stages,final_dataset,samples,216
stages,final_samples_by_source,iedb,214
stages,final_samples_by_source,supplement,2
drop_reasons,caps,binding,16625
drop_reasons,caps,kinetics,0
drop_reasons,caps,stability,2126
drop_reasons,caps,elution,726670
drop_reasons,source_ingest,skipped_no_numeric_value,9813
drop_reasons,source_ingest,skipped_unroutable_response,1092
drop_reasons,source_ingest,skipped_unexpected_unit,0
drop_reasons,source_ingest,skipped_noncanonical_peptide,50
drop_reasons,source_ingest,skipped_missing_mhc_allele,0
drop_reasons,target_exclusion,koff,2
additions,mhc_only,samples,0
additions,uniprot,samples,0
diagnostics,mhc_resolution_alleles,total,63
diagnostics,mhc_resolution_alleles,resolved,63
diagnostics,mhc_resolution_alleles,resolved_mhcseqs,63
diagnostics,mhc_resolution_alleles,resolved_index,0
diagnostics,mhc_resolution_alleles,missing,0
diagnostics,mhc_sequence_quality,total_sequences,63
diagnostics,mhc_sequence_quality,noncanonical_count,0
diagnostics,mhc_sequence_quality,x_sequence_count,0
diagnostics,mhc_sequence_quality,x_residue_total,0
diagnostics,mhc_sequence_quality,nucleotide_like_count,0
diagnostics,mhc_sequence_quality,short_count,0
diagnostics,invalid_mhc_sequences,count,0
diagnostics,mhc_coverage_before_filter,rows_considered,717
diagnostics,mhc_coverage_before_filter,resolved_rows,717
diagnostics,mhc_coverage_before_filter,missing_rows,0
diagnostics,mhc_coverage_before_filter,resolved_fraction,1.0
diagnostics,mhc_coverage_before_filter,missing_fraction,0.0
diagnostics,mhc_coverage_after_filter,rows_considered,717
diagnostics,mhc_coverage_after_filter,resolved_rows,717
diagnostics,mhc_coverage_after_filter,missing_rows,0
diagnostics,mhc_coverage_after_filter,resolved_fraction,1.0
diagnostics,mhc_coverage_after_filter,missing_fraction,0.0
