scope,modality,state,species,count,fraction_of_total_rows,fraction_within_scope
overall,all,resolved,all,717,1.0,1.0
overall,all,missing,all,0,0.0,0.0
overall_species,all,resolved,human,717,1.0,1.0
overall_species,all,resolved,murine,0,0.0,0.0
overall_species,all,resolved,nhp,0,0.0,0.0
overall_species,all,resolved,other,0,0.0,0.0
overall_species,all,missing,human,0,0.0,0.0
overall_species,all,missing,murine,0,0.0,0.0
overall_species,all,missing,nhp,0,0.0,0.0
overall_species,all,missing,other,0,0.0,0.0
modality,binding,resolved,all,96,0.13389121338912133,1.0
modality,binding,missing,all,0,0.0,0.0
modality_species,binding,resolved,human,96,0.13389121338912133,1.0
modality_species,binding,resolved,murine,0,0.0,0.0
modality_species,binding,resolved,nhp,0,0.0,0.0
modality_species,binding,resolved,other,0,0.0,0.0
modality_species,binding,missing,human,0,0.0,0.0
modality_species,binding,missing,murine,0,0.0,0.0
modality_species,binding,missing,nhp,0,0.0,0.0
modality_species,binding,missing,other,0,0.0,0.0
modality,elution,resolved,all,597,0.8326359832635983,1.0
modality,elution,missing,all,0,0.0,0.0
modality_species,elution,resolved,human,597,0.8326359832635983,1.0
modality_species,elution,resolved,murine,0,0.0,0.0
modality_species,elution,resolved,nhp,0,0.0,0.0
modality_species,elution,resolved,other,0,0.0,0.0
modality_species,elution,missing,human,0,0.0,0.0
modality_species,elution,missing,murine,0,0.0,0.0
modality_species,elution,missing,nhp,0,0.0,0.0
modality_species,elution,missing,other,0,0.0,0.0
modality,stability,resolved,all,24,0.03347280334728033,1.0
modality,stability,missing,all,0,0.0,0.0
modality_species,stability,resolved,human,24,0.03347280334728033,1.0
modality_species,stability,resolved,murine,0,0.0,0.0
modality_species,stability,resolved,nhp,0,0.0,0.0
modality_species,stability,resolved,other,0,0.0,0.0
modality_species,stability,missing,human,0,0.0,0.0
modality_species,stability,missing,murine,0,0.0,0.0
modality_species,stability,missing,nhp,0,0.0,0.0
modality_species,stability,missing,other,0,0.0,0.0
