split,rows,target,count,exact,censored_lower,censored_upper,negative,positive
train,130,binding,59,48,0,11,,
train,130,binding_ic50,30,27,0,3,,
train,130,binding_kd,3,0,0,3,,
train,130,binding_kd_direct,3,0,0,3,,
train,130,binding_kd_proxy_ec50,6,3,0,3,,
train,130,binding_kd_proxy_ic50,20,18,0,2,,
train,130,elution,55,0,0,0,0,55
train,130,foreignness,129,0,0,0,69,60
train,130,species_of_origin,129,0,0,0,,
train,130,t_half,16,15,0,1,,
train,130,tcell_apc_type,0,0,0,0,,
train,130,tcell_assay_method,0,0,0,0,,
train,130,tcell_assay_readout,0,0,0,0,,
train,130,tcell_culture_context,0,0,0,0,,
train,130,tcell_peptide_format,0,0,0,0,,
train,130,tcell_stim_context,0,0,0,0,,
val,43,binding,18,14,0,4,,
val,43,binding_ic50,8,6,0,2,,
val,43,binding_kd,1,1,0,0,,
val,43,binding_kd_direct,1,1,0,0,,
val,43,binding_kd_proxy_ec50,3,1,0,2,,
val,43,binding_kd_proxy_ic50,6,6,0,0,,
val,43,elution,21,0,0,0,0,21
val,43,foreignness,41,0,0,0,23,18
val,43,species_of_origin,41,0,0,0,,
val,43,t_half,4,4,0,0,,
val,43,tcell_apc_type,0,0,0,0,,
val,43,tcell_assay_method,0,0,0,0,,
val,43,tcell_assay_readout,0,0,0,0,,
val,43,tcell_culture_context,0,0,0,0,,
val,43,tcell_peptide_format,0,0,0,0,,
val,43,tcell_stim_context,0,0,0,0,,
test,43,binding,19,13,0,6,,
test,43,binding_ic50,9,7,0,2,,
test,43,binding_kd_proxy_ec50,4,0,0,4,,
test,43,binding_kd_proxy_ic50,6,6,0,0,,
test,43,elution,20,0,0,0,0,20
test,43,foreignness,39,0,0,0,26,13
test,43,species_of_origin,39,0,0,0,,
test,43,t_half,4,4,0,0,,
test,43,tcell_apc_type,0,0,0,0,,
test,43,tcell_assay_method,0,0,0,0,,
test,43,tcell_assay_readout,0,0,0,0,,
test,43,tcell_culture_context,0,0,0,0,,
test,43,tcell_peptide_format,0,0,0,0,,
test,43,tcell_stim_context,0,0,0,0,,
