kind,stage,name,count
stages,loaded_post_cap,binding,241803
stages,loaded_post_cap,kinetics,102
stages,loaded_post_cap,stability,12259
stages,loaded_post_cap,processing,0
stages,loaded_post_cap,elution,2073797
stages,loaded_post_cap,tcell,207987
stages,loaded_post_cap,tcr_evidence,166285
stages,loaded_pre_cap,binding,241803
stages,loaded_pre_cap,kinetics,102
stages,loaded_pre_cap,stability,12259
stages,loaded_pre_cap,processing,0
stages,loaded_pre_cap,elution,2073797
stages,loaded_pre_cap,tcell,207987
stages,loaded_pre_cap,tcr_evidence,166285
stages,after_target_exclusion,binding,241803
stages,after_target_exclusion,kinetics,102
stages,after_target_exclusion,stability,12259
stages,after_target_exclusion,processing,0
stages,after_target_exclusion,elution,2073797
stages,after_target_exclusion,tcell,207987
stages,after_target_exclusion,tcr_evidence,166285
stages,before_mhc_filter,binding,241803
stages,before_mhc_filter,kinetics,102
stages,before_mhc_filter,stability,12259
stages,before_mhc_filter,processing,0
stages,before_mhc_filter,elution,2073797
stages,before_mhc_filter,tcell,207987
stages,before_mhc_filter,tcr_evidence,166285
stages,after_mhc_filter,binding,235626
stages,after_mhc_filter,kinetics,97
stages,after_mhc_filter,stability,11985
stages,after_mhc_filter,processing,0
stages,after_mhc_filter,elution,1523561
stages,after_mhc_filter,tcell,148283
stages,after_mhc_filter,tcr_evidence,162370
stages,after_synthetic_augmentation,binding,235626
stages,after_synthetic_augmentation,kinetics,97
stages,after_synthetic_augmentation,stability,11985
stages,after_synthetic_augmentation,processing,0
stages,after_synthetic_augmentation,elution,1523561
stages,after_synthetic_augmentation,tcell,148283
stages,after_synthetic_augmentation,tcr_evidence,162370
stages,final_dataset,samples,2081922
stages,final_samples_by_source,iedb,1919552
stages,final_samples_by_source,mcpas,12516
stages,final_samples_by_source,vdjdb,149854
drop_reasons,caps,binding,0
drop_reasons,caps,kinetics,0
drop_reasons,caps,stability,0
drop_reasons,caps,processing,0
drop_reasons,caps,elution,0
drop_reasons,caps,tcell,0
drop_reasons,caps,tcr_evidence,0
drop_reasons,source_ingest,skipped_invalid_peptide,156765
drop_reasons,source_ingest,missing_binding_affinity_value,248
drop_reasons,source_ingest,missing_binding_koff_value,2
drop_reasons,source_ingest,missing_binding_t_half_value,208
drop_reasons,source_ingest,missing_binding_tm_value,20
drop_reasons,source_ingest,unsupported_binding_association_constant,4
drop_reasons,source_ingest,unsupported_binding_qualitative,561829
drop_reasons,source_ingest,unsupported_binding_structure,1262
drop_reasons,source_ingest,unsupported_presentation_non_ms,1166
drop_reasons,mhc_filter,binding_dropped,6177
drop_reasons,mhc_filter,kinetics_dropped,5
drop_reasons,mhc_filter,stability_dropped,274
drop_reasons,mhc_filter,processing_dropped,0
drop_reasons,mhc_filter,elution_rows_dropped,550236
drop_reasons,mhc_filter,elution_alleles_dropped,595364
drop_reasons,mhc_filter,tcell_dropped,59704
drop_reasons,mhc_filter,vdjdb_dropped,3915
additions,mhc_only,samples,0
additions,uniprot,samples,0
diagnostics,mhc_resolution_alleles,total,1357
diagnostics,mhc_resolution_alleles,resolved,1196
diagnostics,mhc_resolution_alleles,resolved_mhcseqs,18
diagnostics,mhc_resolution_alleles,resolved_index,1178
diagnostics,mhc_resolution_alleles,missing,161
diagnostics,mhc_sequence_quality,total_sequences,1196
diagnostics,mhc_sequence_quality,noncanonical_count,1
diagnostics,mhc_sequence_quality,x_sequence_count,0
diagnostics,mhc_sequence_quality,x_residue_total,0
diagnostics,mhc_sequence_quality,nucleotide_like_count,0
diagnostics,mhc_sequence_quality,short_count,0
diagnostics,invalid_mhc_sequences,count,1
diagnostics,mhc_coverage_before_filter,rows_considered,3432262
diagnostics,mhc_coverage_before_filter,resolved_rows,2766823
diagnostics,mhc_coverage_before_filter,missing_rows,665439
diagnostics,mhc_coverage_before_filter,resolved_fraction,0.8061223181680186
diagnostics,mhc_coverage_before_filter,missing_fraction,0.19387768183198137
diagnostics,mhc_coverage_after_filter,rows_considered,2766823
diagnostics,mhc_coverage_after_filter,resolved_rows,2766823
diagnostics,mhc_coverage_after_filter,missing_rows,0
diagnostics,mhc_coverage_after_filter,resolved_fraction,1.0
diagnostics,mhc_coverage_after_filter,missing_fraction,0.0
