scope,modality,state,species,count,fraction_of_total_rows,fraction_within_scope
overall,all,resolved,all,2766823,0.8061223181680186,0.8061223181680186
overall,all,missing,all,665439,0.19387768183198137,0.19387768183198137
overall_species,all,resolved,human,2419587,0.7049540507105809,0.8745001035483657
overall_species,all,resolved,murine,334608,0.0974890611497607,0.1209358170002201
overall_species,all,resolved,nhp,7522,0.0021915576374997013,0.002718641561097331
overall_species,all,resolved,other,5106,0.0014876486701772766,0.0018454378903168002
overall_species,all,missing,human,562594,0.16391347746762922,0.8454478922936588
overall_species,all,missing,murine,100505,0.029282438228783233,0.1510356321165426
overall_species,all,missing,nhp,1393,0.0004058547977980702,0.0020933549130724228
overall_species,all,missing,other,947,0.0002759113377708345,0.0014231206767261913
modality,binding,resolved,all,235626,0.06865035361519604,0.9744544112355926
modality,binding,missing,all,6177,0.0017996877860722753,0.02554558876440739
modality_species,binding,resolved,human,219859,0.06405659008548881,0.9330846341235687
modality_species,binding,resolved,murine,7858,0.002289452262094211,0.03334946058584367
modality_species,binding,resolved,nhp,6945,0.0020234469280025827,0.029474675969544957
modality_species,binding,resolved,other,964,0.00028086433961043767,0.004091229321042669
modality_species,binding,missing,human,2912,0.0008484200798190814,0.47142625870163507
modality_species,binding,missing,murine,3211,0.0009355346415862193,0.5198316334790352
modality_species,binding,missing,nhp,0,0.0,0.0
modality_species,binding,missing,other,54,1.5733064666974724e-05,0.008742107819329771
modality,elution,resolved,all,2208462,0.6434421381584506,0.7876601472416619
modality,elution,missing,all,595364,0.17346111689608776,0.21233985275833808
modality_species,elution,resolved,human,1928443,0.5618577486217544,0.8732063309217003
modality_species,elution,resolved,murine,276820,0.08065235113170265,0.12534514970146646
modality_species,elution,resolved,nhp,13,3.7875896420494704e-06,5.8864494838489414e-06
modality_species,elution,resolved,other,3186,0.0009282508153515087,0.0014426329273494404
modality_species,elution,missing,human,550531,0.1603988856328567,0.9246964881988162
modality_species,elution,missing,murine,44799,0.013052325259551864,0.07524640388065117
modality_species,elution,missing,nhp,1,2.913530493884208e-07,1.679644721548498e-06
modality_species,elution,missing,other,33,9.614650629817887e-06,5.542827581110044e-05
modality,kinetics,resolved,all,97,2.826124579067682e-05,0.9509803921568627
modality,kinetics,missing,all,5,1.456765246942104e-06,0.049019607843137254
modality_species,kinetics,resolved,human,38,1.107141587675999e-05,0.3917525773195876
modality_species,kinetics,resolved,murine,59,1.718982991391683e-05,0.6082474226804123
modality_species,kinetics,resolved,nhp,0,0.0,0.0
modality_species,kinetics,resolved,other,0,0.0,0.0
modality_species,kinetics,missing,human,3,8.740591481652624e-07,0.6
modality_species,kinetics,missing,murine,2,5.827060987768416e-07,0.4
modality_species,kinetics,missing,nhp,0,0.0,0.0
modality_species,kinetics,missing,other,0,0.0,0.0
modality,stability,resolved,all,11985,0.0034918662969202234,0.9776490741496043
modality,stability,missing,all,274,7.983073553242731e-05,0.022350925850395626
modality_species,stability,resolved,human,11581,0.0033741596649673015,0.9662911973299958
modality_species,stability,resolved,murine,211,6.147549342095679e-05,0.017605340008343764
modality_species,stability,resolved,nhp,0,0.0,0.0
modality_species,stability,resolved,other,193,5.6231138531965214e-05,0.01610346266166041
modality_species,stability,missing,human,59,1.718982991391683e-05,0.21532846715328466
modality_species,stability,missing,murine,117,3.4088306778445234e-05,0.42700729927007297
modality_species,stability,missing,nhp,0,0.0,0.0
modality_species,stability,missing,other,98,2.855259884006524e-05,0.35766423357664234
modality,tcell,resolved,all,148283,0.0432027042224632,0.7129435974363783
modality,tcell,missing,all,59704,0.017394942460686277,0.28705640256362175
modality_species,tcell,resolved,human,103719,0.03021884692951762,0.6994665605632473
modality_species,tcell,resolved,murine,43237,0.01259723179640715,0.29158433535873973
modality_species,tcell,resolved,nhp,564,0.00016432311985506933,0.0038035378296905242
modality_species,tcell,resolved,other,763,0.00022230237668336507,0.005145566248322465
modality_species,tcell,missing,human,8422,0.00245377538194928,0.1410625753718344
modality_species,tcell,missing,murine,51119,0.014893676531686684,0.8562072892938497
modality_species,tcell,missing,nhp,24,6.9924731853220995e-06,0.00040198311670909824
modality_species,tcell,missing,other,139,4.049807386499049e-05,0.0023281522176068605
modality,vdjdb,resolved,all,162370,0.047306994629197886,0.9764560844333524
modality,vdjdb,missing,all,3915,0.0011406471883556675,0.023543915566647623
modality_species,vdjdb,resolved,human,155947,0.04543563399297606,0.9604421999137772
modality_species,vdjdb,resolved,murine,6423,0.0018713606362218268,0.039557800086222825
modality_species,vdjdb,resolved,nhp,0,0.0,0.0
modality_species,vdjdb,resolved,other,0,0.0,0.0
modality_species,vdjdb,missing,human,667,0.00019433248394207667,0.17037037037037037
modality_species,vdjdb,missing,murine,1257,0.00036623078308124497,0.3210727969348659
modality_species,vdjdb,missing,nhp,1368,0.00039857097156335966,0.34942528735632183
modality_species,vdjdb,missing,other,623,0.00018151294976898616,0.1591315453384419
