split,target,axis,column,loss_group,alias_of,count,weight_sum,positive,negative,graded,exact,censored_lower,censored_upper
train,binding,task,*,binding,,189500,189500.0,0,0,0,142456,0,47044
train,binding_kd,task,*,binding_kd,,16921,16921.0,0,0,0,5779,0,11142
train,binding_ic50,task,*,binding_ic50,,55423,55423.0,0,0,0,49414,0,6009
train,binding_ec50,task,*,binding_ec50,,1332,1332.0,0,0,0,1252,0,80
train,elution,task,*,elution,,0,0.0,0,0,0,0,0,0
train,presentation,task,*,presentation,,0,0.0,0,0,0,0,0,0
train,tcell,task,*,tcell,,118222,118222.0,58082,60140,0,0,0,0
train,immunogenicity,task,*,immunogenicity,,118222,118222.0,58082,60140,0,0,0,0
train,tcell_assay_method,task,*,tcell_assay_method,,118222,118222.0,58082,60140,0,0,0,0
train,tcell_assay_method,columns,unknown,tcell_assay_method,,0,0.0,0,0,0,0,0,0
train,tcell_assay_method,columns,ELISPOT,tcell_assay_method,,53387,53387.0,15573,37814,0,0,0,0
train,tcell_assay_method,columns,ICS,tcell_assay_method,,11929,11929.0,8506,3423,0,0,0,0
train,tcell_assay_method,columns,MULTIMER,tcell_assay_method,,21097,21097.0,12158,8939,0,0,0,0
train,tcell_assay_method,columns,ELISA,tcell_assay_method,,6839,6839.0,4483,2356,0,0,0,0
train,tcell_assay_method,columns,CYTOTOXICITY_ASSAY,tcell_assay_method,,7649,7649.0,5801,1848,0,0,0,0
train,tcell_assay_method,columns,PROLIFERATION_ASSAY,tcell_assay_method,,4451,4451.0,3166,1285,0,0,0,0
train,tcell_assay_method,columns,IN_VITRO_ASSAY,tcell_assay_method,,14,14.0,13,1,0,0,0,0
train,tcell_assay_method,columns,IN_VIVO_ASSAY,tcell_assay_method,,1169,1169.0,860,309,0,0,0,0
train,tcell_assay_method,columns,BIOASSAY,tcell_assay_method,,5520,5520.0,3465,2055,0,0,0,0
train,tcell_assay_method,columns,OTHER,tcell_assay_method,,6167,6167.0,4057,2110,0,0,0,0
train,tcell_assay_readout,task,*,tcell_assay_readout,,118222,118222.0,58082,60140,0,0,0,0
train,tcell_assay_readout,columns,unknown,tcell_assay_readout,,0,0.0,0,0,0,0,0,0
train,tcell_assay_readout,columns,IFNG,tcell_assay_readout,,66450,66450.0,24064,42386,0,0,0,0
train,tcell_assay_readout,columns,TNFA,tcell_assay_readout,,2613,2613.0,1943,670,0,0,0,0
train,tcell_assay_readout,columns,IL2,tcell_assay_readout,,2531,2531.0,1837,694,0,0,0,0
train,tcell_assay_readout,columns,IL4,tcell_assay_readout,,625,625.0,373,252,0,0,0,0
train,tcell_assay_readout,columns,IL5,tcell_assay_readout,,363,363.0,309,54,0,0,0,0
train,tcell_assay_readout,columns,IL10,tcell_assay_readout,,509,509.0,342,167,0,0,0,0
train,tcell_assay_readout,columns,GMCSF,tcell_assay_readout,,162,162.0,145,17,0,0,0,0
train,tcell_assay_readout,columns,CYTOTOXICITY,tcell_assay_readout,,7649,7649.0,5801,1848,0,0,0,0
train,tcell_assay_readout,columns,PROLIFERATION,tcell_assay_readout,,4451,4451.0,3166,1285,0,0,0,0
train,tcell_assay_readout,columns,ACTIVATION,tcell_assay_readout,,5147,5147.0,3121,2026,0,0,0,0
train,tcell_assay_readout,columns,QUAL_BINDING,tcell_assay_readout,,1919,1919.0,1095,824,0,0,0,0
train,tcell_assay_readout,columns,KD,tcell_assay_readout,,677,677.0,640,37,0,0,0,0
train,tcell_assay_readout,columns,MULTIMER_BINDING,tcell_assay_readout,,21097,21097.0,12158,8939,0,0,0,0
train,tcell_assay_readout,columns,OTHER,tcell_assay_readout,,4029,4029.0,3088,941,0,0,0,0
train,tcell_apc_type,task,*,tcell_apc_type,,92367,92367.0,41781,50586,0,0,0,0
train,tcell_apc_type,columns,unknown,tcell_apc_type,,0,0.0,0,0,0,0,0,0
